,candidate_name,cycle,modeldate,pct_median_adjusted,state
0,George Bush,1988.0,9.0,53.953976966666666,Alabama
1,George Bush,1988.0,10.0,56.380492419354844,Alabama
2,George Bush,1988.0,11.0,56.679982499999994,Alabama
3,Michael S. Dukakis,1988.0,9.0,31.824210966666666,Alabama
4,Michael S. Dukakis,1988.0,10.0,33.29536264516129,Alabama
5,Michael S. Dukakis,1988.0,11.0,36.285675874999995,Alabama
6,George Bush,1988.0,9.0,,Alaska
7,George Bush,1988.0,10.0,52.81372073913043,Alaska
8,George Bush,1988.0,11.0,53.422283750000005,Alaska
9,Michael S. Dukakis,1988.0,9.0,,Alaska
10,Michael S. Dukakis,1988.0,10.0,40.090173478260866,Alaska
11,Michael S. Dukakis,1988.0,11.0,39.971371125,Alaska
12,George Bush,1988.0,9.0,54.89827693333334,Arizona
13,George Bush,1988.0,10.0,55.254133161290326,Arizona
14,George Bush,1988.0,11.0,55.87525037500001,Arizona
15,Michael S. Dukakis,1988.0,9.0,39.128426833333336,Arizona
16,Michael S. Dukakis,1988.0,10.0,33.50458038709677,Arizona
17,Michael S. Dukakis,1988.0,11.0,31.384993,Arizona
18,George Bush,1988.0,9.0,,Arkansas
19,George Bush,1988.0,10.0,47.75458914285715,Arkansas
20,George Bush,1988.0,11.0,48.603776874999994,Arkansas
21,Michael S. Dukakis,1988.0,9.0,,Arkansas
22,Michael S. Dukakis,1988.0,10.0,40.35758295238096,Arkansas
23,Michael S. Dukakis,1988.0,11.0,40.110468000000004,Arkansas
24,George Bush,1988.0,9.0,44.786983433333326,California
25,George Bush,1988.0,10.0,48.80510219354841,California
26,George Bush,1988.0,11.0,51.220326875,California
27,Michael S. Dukakis,1988.0,9.0,45.942638133333325,California
28,Michael S. Dukakis,1988.0,10.0,43.452058903225804,California
29,Michael S. Dukakis,1988.0,11.0,42.74065337500001,California
30,George Bush,1988.0,9.0,37.5899691,Colorado
31,George Bush,1988.0,10.0,47.66571022580644,Colorado
32,George Bush,1988.0,11.0,50.17092925,Colorado
33,Michael S. Dukakis,1988.0,9.0,42.4745739,Colorado
34,Michael S. Dukakis,1988.0,10.0,39.18900367741936,Colorado
35,Michael S. Dukakis,1988.0,11.0,38.172553625,Colorado
36,George Bush,1988.0,9.0,41.59095246666666,Connecticut
37,George Bush,1988.0,10.0,43.40194561290323,Connecticut
38,George Bush,1988.0,11.0,45.183143,Connecticut
39,Michael S. Dukakis,1988.0,9.0,44.58444750000001,Connecticut
40,Michael S. Dukakis,1988.0,10.0,39.39631348387096,Connecticut
41,Michael S. Dukakis,1988.0,11.0,38.0025765,Connecticut
42,George Bush,1988.0,9.0,40.49983136666666,Delaware
43,George Bush,1988.0,10.0,43.71956548387097,Delaware
44,George Bush,1988.0,11.0,50.99662625,Delaware
45,Michael S. Dukakis,1988.0,9.0,34.957683466666666,Delaware
46,Michael S. Dukakis,1988.0,10.0,33.82348664516129,Delaware
47,Michael S. Dukakis,1988.0,11.0,33.89479287500001,Delaware
48,George Bush,1988.0,9.0,56.52244003333333,Florida
49,George Bush,1988.0,10.0,57.448287516129035,Florida
50,George Bush,1988.0,11.0,58.335525625,Florida
51,Michael S. Dukakis,1988.0,9.0,36.00800113333333,Florida
52,Michael S. Dukakis,1988.0,10.0,34.683742903225806,Florida
53,Michael S. Dukakis,1988.0,11.0,35.419587500000006,Florida
54,George Bush,1988.0,9.0,,Georgia
55,George Bush,1988.0,10.0,51.797513379310345,Georgia
56,George Bush,1988.0,11.0,51.90908825,Georgia
57,Michael S. Dukakis,1988.0,9.0,,Georgia
58,Michael S. Dukakis,1988.0,10.0,37.53831093103449,Georgia
59,Michael S. Dukakis,1988.0,11.0,38.412819625000004,Georgia
60,George Bush,1988.0,9.0,33.948940105263155,Hawaii
61,George Bush,1988.0,10.0,36.09148848387097,Hawaii
62,George Bush,1988.0,11.0,37.7117245,Hawaii
63,Michael S. Dukakis,1988.0,9.0,41.80558247368422,Hawaii
64,Michael S. Dukakis,1988.0,10.0,40.31302380645161,Hawaii
65,Michael S. Dukakis,1988.0,11.0,39.427114625,Hawaii
66,,1988.0,,,Idaho
67,George Bush,1988.0,9.0,43.75238156666668,Illinois
68,George Bush,1988.0,10.0,45.81344893548387,Illinois
69,George Bush,1988.0,11.0,47.714759875,Illinois
70,Michael S. Dukakis,1988.0,9.0,47.63822743333333,Illinois
71,Michael S. Dukakis,1988.0,10.0,44.41209848387097,Illinois
72,Michael S. Dukakis,1988.0,11.0,44.874970250000004,Illinois
73,George Bush,1988.0,9.0,52.86450043333334,Indiana
74,George Bush,1988.0,10.0,54.44710470967742,Indiana
75,George Bush,1988.0,11.0,55.784065000000005,Indiana
76,Michael S. Dukakis,1988.0,9.0,36.117251733333326,Indiana
77,Michael S. Dukakis,1988.0,10.0,34.97883119354839,Indiana
78,Michael S. Dukakis,1988.0,11.0,34.25547225,Indiana
79,George Bush,1988.0,9.0,38.15701353333334,Iowa
80,George Bush,1988.0,10.0,40.505633580645174,Iowa
81,George Bush,1988.0,11.0,41.83259675000001,Iowa
82,Michael S. Dukakis,1988.0,9.0,50.9211923,Iowa
83,Michael S. Dukakis,1988.0,10.0,49.29866893548387,Iowa
84,Michael S. Dukakis,1988.0,11.0,48.66351025,Iowa
85,George Bush,1988.0,9.0,42.95510975,Kansas
86,George Bush,1988.0,10.0,43.979774322580646,Kansas
87,George Bush,1988.0,11.0,45.0197255,Kansas
88,Michael S. Dukakis,1988.0,9.0,38.56455875,Kansas
89,Michael S. Dukakis,1988.0,10.0,34.499757612903224,Kansas
90,Michael S. Dukakis,1988.0,11.0,33.51114175000001,Kansas
91,George Bush,1988.0,9.0,43.83391873333335,Kentucky
92,George Bush,1988.0,10.0,46.48313709677419,Kentucky
93,George Bush,1988.0,11.0,50.532910375,Kentucky
94,Michael S. Dukakis,1988.0,9.0,42.372568233333325,Kentucky
95,Michael S. Dukakis,1988.0,10.0,41.80042977419356,Kentucky
96,Michael S. Dukakis,1988.0,11.0,39.424997,Kentucky
97,George Bush,1988.0,9.0,,Louisiana
98,George Bush,1988.0,10.0,47.85460266666667,Louisiana
99,George Bush,1988.0,11.0,49.0002465,Louisiana
100,Michael S. Dukakis,1988.0,9.0,,Louisiana
101,Michael S. Dukakis,1988.0,10.0,37.748570888888885,Louisiana
102,Michael S. Dukakis,1988.0,11.0,39.39491975,Louisiana
103,George Bush,1988.0,9.0,49.76304416666667,Maine
104,George Bush,1988.0,10.0,50.74640187096775,Maine
105,George Bush,1988.0,11.0,51.86714425000001,Maine
106,Michael S. Dukakis,1988.0,9.0,43.79096603333334,Maine
107,Michael S. Dukakis,1988.0,10.0,39.701241064516125,Maine
108,Michael S. Dukakis,1988.0,11.0,38.465240125,Maine
109,George Bush,1988.0,9.0,40.920376566666654,Maryland
110,George Bush,1988.0,10.0,45.48316164516129,Maryland
111,George Bush,1988.0,11.0,47.732160875,Maryland
112,Michael S. Dukakis,1988.0,9.0,47.94349126666667,Maryland
113,Michael S. Dukakis,1988.0,10.0,45.85567877419355,Maryland
114,Michael S. Dukakis,1988.0,11.0,45.289959625,Maryland
115,George Bush,1988.0,9.0,42.92891103333332,Massachusetts
116,George Bush,1988.0,10.0,42.945851935483866,Massachusetts
117,George Bush,1988.0,11.0,43.3539495,Massachusetts
118,Michael S. Dukakis,1988.0,9.0,46.123303566666664,Massachusetts
119,Michael S. Dukakis,1988.0,10.0,45.67990667741936,Massachusetts
120,Michael S. Dukakis,1988.0,11.0,47.519558375,Massachusetts
121,George Bush,1988.0,9.0,43.7080065,Michigan
122,George Bush,1988.0,10.0,46.733945322580645,Michigan
123,George Bush,1988.0,11.0,46.672036250000005,Michigan
124,Michael S. Dukakis,1988.0,9.0,41.26762306666667,Michigan
125,Michael S. Dukakis,1988.0,10.0,42.58138938709677,Michigan
126,Michael S. Dukakis,1988.0,11.0,42.79886487500001,Michigan
127,George Bush,1988.0,9.0,40.64239849999999,Minnesota
128,George Bush,1988.0,10.0,42.61104080645162,Minnesota
129,George Bush,1988.0,11.0,44.93573725,Minnesota
130,Michael S. Dukakis,1988.0,9.0,48.24914503333334,Minnesota
131,Michael S. Dukakis,1988.0,10.0,47.89954416129032,Minnesota
132,Michael S. Dukakis,1988.0,11.0,47.722986125000006,Minnesota
133,George Bush,1988.0,9.0,54.393443366666666,Mississippi
134,George Bush,1988.0,10.0,56.21273170967742,Mississippi
135,George Bush,1988.0,11.0,57.750501875,Mississippi
136,Michael S. Dukakis,1988.0,9.0,37.3135552,Mississippi
137,Michael S. Dukakis,1988.0,10.0,36.234638741935484,Mississippi
138,Michael S. Dukakis,1988.0,11.0,36.066865,Mississippi
139,George Bush,1988.0,9.0,46.115788,Missouri
140,George Bush,1988.0,10.0,45.97883441935484,Missouri
141,George Bush,1988.0,11.0,48.0614035,Missouri
142,Michael S. Dukakis,1988.0,9.0,40.584501666666675,Missouri
143,Michael S. Dukakis,1988.0,10.0,40.21699964516129,Missouri
144,Michael S. Dukakis,1988.0,11.0,41.65964025,Missouri
145,George Bush,1988.0,9.0,39.323179849999995,Montana
146,George Bush,1988.0,10.0,42.18025125806453,Montana
147,George Bush,1988.0,11.0,47.02727,Montana
148,Michael S. Dukakis,1988.0,9.0,43.5491267,Montana
149,Michael S. Dukakis,1988.0,10.0,41.15000219354839,Montana
150,Michael S. Dukakis,1988.0,11.0,36.5390875,Montana
151,George Bush,1988.0,9.0,48.278462299999994,Nebraska
152,George Bush,1988.0,10.0,49.163342935483875,Nebraska
153,George Bush,1988.0,11.0,50.387799875,Nebraska
154,Michael S. Dukakis,1988.0,9.0,38.32444116666667,Nebraska
155,Michael S. Dukakis,1988.0,10.0,36.07241009677419,Nebraska
156,Michael S. Dukakis,1988.0,11.0,35.471406125,Nebraska
157,George Bush,1988.0,9.0,48.72354596666666,Nevada
158,George Bush,1988.0,10.0,51.59357629032258,Nevada
159,George Bush,1988.0,11.0,54.129656875,Nevada
160,Michael S. Dukakis,1988.0,9.0,35.5850141,Nevada
161,Michael S. Dukakis,1988.0,10.0,32.397814806451606,Nevada
162,Michael S. Dukakis,1988.0,11.0,30.995402125,Nevada
163,George Bush,1988.0,9.0,60.16099814285714,New Hampshire
164,George Bush,1988.0,10.0,61.83581422580645,New Hampshire
165,George Bush,1988.0,11.0,63.464864375000005,New Hampshire
166,Michael S. Dukakis,1988.0,9.0,31.919978619047622,New Hampshire
167,Michael S. Dukakis,1988.0,10.0,30.91042561290322,New Hampshire
168,Michael S. Dukakis,1988.0,11.0,30.368042375,New Hampshire
169,George Bush,1988.0,9.0,42.270989300000004,New Jersey
170,George Bush,1988.0,10.0,48.29500716129033,New Jersey
171,George Bush,1988.0,11.0,52.39735875,New Jersey
172,Michael S. Dukakis,1988.0,9.0,31.995124899999997,New Jersey
173,Michael S. Dukakis,1988.0,10.0,37.64939822580645,New Jersey
174,Michael S. Dukakis,1988.0,11.0,40.282795625000006,New Jersey
175,George Bush,1988.0,9.0,,New Mexico
176,George Bush,1988.0,10.0,50.75756838461538,New Mexico
177,George Bush,1988.0,11.0,51.506055375,New Mexico
178,Michael S. Dukakis,1988.0,9.0,,New Mexico
179,Michael S. Dukakis,1988.0,10.0,38.56250653846154,New Mexico
180,Michael S. Dukakis,1988.0,11.0,38.248121999999995,New Mexico
181,George Bush,1988.0,9.0,41.901752,New York
182,George Bush,1988.0,10.0,43.35256241935484,New York
183,George Bush,1988.0,11.0,46.179125625,New York
184,Michael S. Dukakis,1988.0,9.0,48.0462133,New York
185,Michael S. Dukakis,1988.0,10.0,46.562605870967744,New York
186,Michael S. Dukakis,1988.0,11.0,45.7048975,New York
187,George Bush,1988.0,9.0,48.2779497,North Carolina
188,George Bush,1988.0,10.0,49.69116048387096,North Carolina
189,George Bush,1988.0,11.0,52.07090875,North Carolina
190,Michael S. Dukakis,1988.0,9.0,41.2920956,North Carolina
191,Michael S. Dukakis,1988.0,10.0,41.53325222580644,North Carolina
192,Michael S. Dukakis,1988.0,11.0,40.669158374999995,North Carolina
193,George Bush,1988.0,9.0,45.88525589999999,North Dakota
194,George Bush,1988.0,10.0,52.26765612903226,North Dakota
195,George Bush,1988.0,11.0,53.860393625,North Dakota
196,Michael S. Dukakis,1988.0,9.0,45.031699333333336,North Dakota
197,Michael S. Dukakis,1988.0,10.0,36.20799412903225,North Dakota
198,Michael S. Dukakis,1988.0,11.0,35.526470625,North Dakota
199,George Bush,1988.0,9.0,42.88343299999999,Ohio
200,George Bush,1988.0,10.0,47.626627935483874,Ohio
201,George Bush,1988.0,11.0,50.248886875000004,Ohio
202,Michael S. Dukakis,1988.0,9.0,41.630449833333344,Ohio
203,Michael S. Dukakis,1988.0,10.0,40.14823622580644,Ohio
204,Michael S. Dukakis,1988.0,11.0,40.84444487500001,Ohio
205,George Bush,1988.0,9.0,,Oklahoma
206,George Bush,1988.0,10.0,53.129085583333335,Oklahoma
207,George Bush,1988.0,11.0,56.270947625,Oklahoma
208,Michael S. Dukakis,1988.0,9.0,,Oklahoma
209,Michael S. Dukakis,1988.0,10.0,38.80279529166667,Oklahoma
210,Michael S. Dukakis,1988.0,11.0,38.263492875,Oklahoma
211,George Bush,1988.0,9.0,49.0243167,Oregon
212,George Bush,1988.0,10.0,49.63857680645162,Oregon
213,George Bush,1988.0,11.0,49.438532875,Oregon
214,Michael S. Dukakis,1988.0,9.0,47.161816033333345,Oregon
215,Michael S. Dukakis,1988.0,10.0,46.487544193548395,Oregon
216,Michael S. Dukakis,1988.0,11.0,47.046519125,Oregon
217,George Bush,1988.0,9.0,,Pennsylvania
218,George Bush,1988.0,10.0,49.10815593548387,Pennsylvania
219,George Bush,1988.0,11.0,48.835364750000004,Pennsylvania
220,Michael S. Dukakis,1988.0,9.0,,Pennsylvania
221,Michael S. Dukakis,1988.0,10.0,43.16810503225807,Pennsylvania
222,Michael S. Dukakis,1988.0,11.0,44.233742125,Pennsylvania
223,George Bush,1988.0,9.0,38.286048,Rhode Island
224,George Bush,1988.0,10.0,39.359035129032264,Rhode Island
225,George Bush,1988.0,11.0,40.826118750000006,Rhode Island
226,Michael S. Dukakis,1988.0,9.0,50.37328866666667,Rhode Island
227,Michael S. Dukakis,1988.0,10.0,43.868117580645155,Rhode Island
228,Michael S. Dukakis,1988.0,11.0,43.264833875,Rhode Island
229,George Bush,1988.0,9.0,51.5754631,South Carolina
230,George Bush,1988.0,10.0,53.85953038709678,South Carolina
231,George Bush,1988.0,11.0,56.40803975,South Carolina
232,Michael S. Dukakis,1988.0,9.0,37.81639233333333,South Carolina
233,Michael S. Dukakis,1988.0,10.0,37.112290580645166,South Carolina
234,Michael S. Dukakis,1988.0,11.0,37.10200025,South Carolina
235,George Bush,1988.0,9.0,,South Dakota
236,George Bush,1988.0,10.0,46.205244629629625,South Dakota
237,George Bush,1988.0,11.0,46.87260325,South Dakota
238,Michael S. Dukakis,1988.0,9.0,,South Dakota
239,Michael S. Dukakis,1988.0,10.0,40.01494566666667,South Dakota
240,Michael S. Dukakis,1988.0,11.0,39.92358075,South Dakota
241,George Bush,1988.0,9.0,,Tennessee
242,George Bush,1988.0,10.0,47.83102231034484,Tennessee
243,George Bush,1988.0,11.0,51.641748,Tennessee
244,Michael S. Dukakis,1988.0,9.0,,Tennessee
245,Michael S. Dukakis,1988.0,10.0,40.188278137931036,Tennessee
246,Michael S. Dukakis,1988.0,11.0,39.640938625000004,Tennessee
247,George Bush,1988.0,9.0,49.9105168,Texas
248,George Bush,1988.0,10.0,53.66280974193549,Texas
