cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,52.81372074,53.42228375,51.7726351,Alaska,1,1988,1,Alaska,1
1988,40.09017348,39.97137113,40.62917917,Alaska,0,1988,0,Alaska,0
1992,36.8322581,33.859977,39.38867723,Alaska,0,1992,0,Alaska,0
1992,34.12605087,33.78824767,38.7794033,Alaska,1,1992,1,Alaska,1
1996,36.12677503,34.405887,39.4681302,Alaska,0,1996,0,Alaska,0
1996,44.69563952,44.151979,45.79350903,Alaska,1,1996,1,Alaska,1
2000,24.95039239,26.65657614,25.25825836,Alaska,0,2000,0,Alaska,0
2000,48.31994413,51.25068814,47.18732664,Alaska,1,2000,1,Alaska,1
2004,57.55748368,57.7638625,58.63386847,Alaska,1,2004,1,Alaska,1
2004,31.41035513,32.0161485,30.82278683,Alaska,0,2004,0,Alaska,0
2008,39.19596429,40.774888,38.17871863,Alaska,0,2008,0,Alaska,0
2008,54.33094748,55.548865,54.68006133,Alaska,1,2008,1,Alaska,1
2016,39.65046968,43.98096125,41.69484933,Alaska,1,2016,1,Alaska,1
2016,33.46096484,38.75998375,31.006732,Alaska,0,2016,0,Alaska,0
2020,49.76199935,51.22973333,50.471197,Alaska,1,2020,1,Alaska,1
2020,44.37135,43.52503,44.98821867,Alaska,0,2020,0,Alaska,0
