cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,48.80510219,51.22032688,44.78698343,California,1,1988,0.4,California,1
1988,43.4520589,42.74065338,45.94263813,California,0,1988,0.6,California,0
1992,49.31429703,47.08772167,48.0980864,California,0,1992,0.6,California,1
1992,30.61467819,31.36069933,33.91210343,California,1,1992,0.4,California,0
1996,50.31742442,48.939908,51.81097953,California,0,1996,0.5769230769230769,California,1
1996,34.92376087,34.8980074,34.00207413,California,1,1996,0.4230769230769231,California,0
2000,46.831925899999995,46.433327,47.0636439,California,0,2000,0.5510204081632653,California,1
2000,38.70122545,42.10846957,36.50860167,California,1,2000,0.4489795918367347,California,0
2004,40.78484448,41.7255775,42.07282763,California,1,2004,0.38461538461538464,California,0
2004,51.67049581,52.409029499999995,50.08119597,California,0,2004,0.6153846153846154,California,1
2008,55.13702194,57.64526375,51.9545603,California,0,2008,0.6226415094339622,California,1
2008,36.29154084,35.37314775,38.8722006,California,1,2008,0.37735849056603776,California,0
2012,54.84475132,54.97031033,55.04702283,California,0,2012,0.6415094339622642,California,1
2012,38.74208365,39.09606483,37.39687613,California,1,2012,0.3584905660377358,California,0
2016,30.58260226,32.06212,31.76867633,California,1,2016,0.2830188679245283,California,0
2016,55.52721871,54.83419625,52.35617567,California,0,2016,0.7169811320754718,California,1
2020,31.39706161,32.78278333,31.16623967,California,1,2020,0.2641509433962264,California,0
2020,61.67958548,61.54144333,61.225153000000006,California,0,2020,0.7358490566037736,California,1
