cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,47.66571023,50.17092925,37.5899691,Colorado,1,1988,0.6666666666666666,Colorado,1
1988,39.18900368,38.17255363,42.4745739,Colorado,0,1988,0.33333333333333337,Colorado,0
1992,39.766299100000005,39.026244,42.4084749,Colorado,0,1992,0.5,Colorado,1
1992,34.63421461,32.43428433,37.68147997,Colorado,1,1992,0.5,Colorado,0
1996,46.96296735,43.586420000000004,48.43378767,Colorado,0,1996,0.33333333333333337,Colorado,0
1996,40.78663348,40.392233600000004,41.465493,Colorado,1,1996,0.6666666666666666,Colorado,1
2000,36.27732435,38.74961414,39.21247127,Colorado,0,2000,0.33333333333333337,Colorado,0
2000,46.88893303,47.89615829,43.67601313,Colorado,1,2000,0.6666666666666666,Colorado,1
2004,49.18500784,49.6301475,49.58059997,Colorado,1,2004,0.6666666666666666,Colorado,1
2004,44.4276979,45.409281,43.03596773,Colorado,0,2004,0.33333333333333337,Colorado,0
2008,49.80164639,51.32668975,46.89590253,Colorado,0,2008,0.4285714285714286,Colorado,1
2008,43.99477416,44.4977205,45.74806623,Colorado,1,2008,0.5714285714285714,Colorado,0
2012,47.42881184,47.90889433,47.80537373,Colorado,0,2012,0.7142857142857143,Colorado,1
2012,47.72709426,47.76562317,46.1023871,Colorado,1,2012,0.2857142857142857,Colorado,0
2016,38.445212899999994,40.1587575,37.75336267,Colorado,1,2016,0.5714285714285714,Colorado,0
2016,43.92682484,43.45608125,40.17984033,Colorado,0,2016,0.4285714285714286,Colorado,1
2020,40.06908226,41.23381,40.926107,Colorado,1,2020,0.5714285714285714,Colorado,0
2020,52.75659968,53.503840000000004,51.61724667,Colorado,0,2020,0.4285714285714286,Colorado,1
