cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,43.40194561,45.183143,41.59095247,Connecticut,1,1988,0.5,Connecticut,1
1988,39.39631348,38.0025765,44.584447499999996,Connecticut,0,1988,0.5,Connecticut,0
1992,44.88841639,41.43925267,46.55472973,Connecticut,0,1992,0.5,Connecticut,1
1992,33.80341419,33.094086,37.48795487,Connecticut,1,1992,0.5,Connecticut,0
1996,50.71694239,49.0714552,50.38905727,Connecticut,0,1996,0.5,Connecticut,1
1996,31.53777213,29.490798600000005,35.26868653,Connecticut,1,1996,0.5,Connecticut,0
2000,47.773210999999996,48.79343814,46.70011317,Connecticut,0,2000,0.6666666666666667,Connecticut,1
2000,36.817482899999995,38.51210557,37.80747637,Connecticut,1,2000,0.3333333333333333,Connecticut,0
2004,39.95967329,40.0288385,40.76133327,Connecticut,1,2004,0.5,Connecticut,0
2004,51.631852,52.271467,49.4172432,Connecticut,0,2004,0.5,Connecticut,1
2008,55.25902645,57.40292075,53.297095,Connecticut,0,2008,0.4,Connecticut,1
2008,36.5157331,36.129093,39.09022503,Connecticut,1,2008,0.6,Connecticut,0
2012,52.49814416,53.63065967,52.62143917,Connecticut,0,2012,1.0,Connecticut,1
2012,42.050569,41.479769,41.26202987,Connecticut,1,2012,0.0,Connecticut,0
2016,36.40187032,37.43536125,37.06172067,Connecticut,1,2016,0.0,Connecticut,0
2016,47.96680871,50.423315,45.43586567,Connecticut,0,2016,1.0,Connecticut,1
2020,33.73894194,32.39282,34.224352,Connecticut,1,2020,0.0,Connecticut,0
2020,58.42546323,58.22804667,54.93029433,Connecticut,0,2020,1.0,Connecticut,1
