cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,51.79751338,51.90908825,51.6578483,Georgia,1,1988,0.2,Georgia,1
1988,37.53831093,38.41281963,37.298773,Georgia,0,1988,0.8,Georgia,0
1992,41.05656723,39.51103033,39.8764934,Georgia,0,1992,0.9,Georgia,1
1992,35.65134516,35.96985967,38.2716175,Georgia,1,1992,0.1,Georgia,0
1996,46.53817855,44.8197092,45.54605293,Georgia,0,1996,0.6363636363636364,Georgia,0
1996,40.57478081,41.6302896,40.888825,Georgia,1,1996,0.36363636363636365,Georgia,1
2000,39.43946739,40.11264129,40.7403559,Georgia,0,2000,0.2727272727272727,Georgia,0
2000,48.45913694,50.95262543,44.65723987,Georgia,1,2000,0.7272727272727273,Georgia,1
2004,54.91503661,54.19454150000001,55.35152594,Georgia,1,2004,0.7272727272727273,Georgia,1
2004,40.17168016,41.784946999999995,39.62384856,Georgia,0,2004,0.2727272727272727,Georgia,0
2008,43.45626471,45.826949,40.60395263,Georgia,0,2008,0.46153846153846156,Georgia,0
2008,51.01530313,50.0376805,53.40251543,Georgia,1,2008,0.5384615384615384,Georgia,1
2012,42.166560100000005,43.63880617,42.4720641,Georgia,0,2012,0.46153846153846156,Georgia,0
2012,53.19637448,53.598447,51.69075170000001,Georgia,1,2012,0.5384615384615384,Georgia,1
2016,45.40261419,47.67065875,44.58679267,Georgia,1,2016,0.6428571428571429,Georgia,1
2016,42.44864452,43.93564875,40.90339033,Georgia,0,2016,0.3571428571428571,Georgia,0
2020,46.65713903,47.29871,47.17044967,Georgia,1,2020,0.7142857142857143,Georgia,1
2020,47.60438129,48.40758667,45.90619233,Georgia,0,2020,0.2857142857142857,Georgia,0
