cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,36.09148848,37.7117245,33.94894011,Hawaii,1,1988,0.0,Hawaii,0
1988,40.31302381,39.42711463,41.80558247,Hawaii,0,1988,1.0,Hawaii,1
1992,43.10225323,42.65768933,42.89290013,Hawaii,0,1992,0.5,Hawaii,1
1992,27.55126548,26.56985833,31.0975043,Hawaii,1,1992,0.5,Hawaii,0
1996,52.590636100000005,53.420927600000006,52.71648827,Hawaii,0,1996,1.0,Hawaii,1
1996,33.86998616,31.1091224,34.55688307,Hawaii,1,1996,0.0,Hawaii,0
2000,50.44742323,51.87441386,47.76210663,Hawaii,0,2000,1.0,Hawaii,1
2000,33.88410797,34.87764886,34.53862120000001,Hawaii,1,2000,0.0,Hawaii,0
2004,42.26425777,43.6774665,42.87604297,Hawaii,1,2004,0.0,Hawaii,0
2004,47.67375065,46.172645,47.04570073,Hawaii,0,2004,1.0,Hawaii,1
2008,66.51933665,61.30717975,62.16081757,Hawaii,0,2008,1.0,Hawaii,1
2008,27.76953629,32.4342365,31.5660674,Hawaii,1,2008,0.0,Hawaii,0
2012,61.11324413,61.26550917,61.994855,Hawaii,0,2012,0.5,Hawaii,1
2012,32.69118926,33.99510983,31.22019967,Hawaii,1,2012,0.5,Hawaii,0
2016,27.89103161,28.94064625,27.84990433,Hawaii,1,2016,0.0,Hawaii,0
2016,53.53333806,52.033429999999996,51.74910433,Hawaii,0,2016,1.0,Hawaii,1
2020,31.22617968,30.17674333,31.015039,Hawaii,1,2020,0.0,Hawaii,0
2020,62.01144,64.22975,56.53586433,Hawaii,0,2020,1.0,Hawaii,1
