cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1992,33.50519313,27.513414,37.1597955,Idaho,0,1992,0.5,Idaho,0
1992,37.00525271,37.196833000000005,35.08535625,Idaho,1,1992,0.5,Idaho,1
1996,31.75636632,30.707141600000003,33.54522667,Idaho,0,1996,0.5,Idaho,0
1996,51.70587684,48.6287554,51.90982743,Idaho,1,1996,0.5,Idaho,1
2000,28.57441184,27.40408971,28.79510103,Idaho,0,2000,0.0,Idaho,0
2000,53.82018068,59.64066143,48.80034363,Idaho,1,2000,1.0,Idaho,1
2004,57.91752394,58.1449095,57.85291053,Idaho,1,2004,1.0,Idaho,1
2004,28.24554477,28.769914500000002,26.58404267,Idaho,0,2004,0.0,Idaho,0
2008,31.90664406,33.313514,31.248678700000003,Idaho,0,2008,0.0,Idaho,0
2008,59.72382313,59.72559975,59.449520400000004,Idaho,1,2008,1.0,Idaho,1
2012,26.90478009,27.40780617,26.38287,Idaho,0,2012,0.5,Idaho,0
2012,63.167294999999996,63.302797999999996,62.92872,Idaho,1,2012,0.5,Idaho,1
2016,46.73948323,46.548447499999995,47.93853167,Idaho,1,2016,1.0,Idaho,1
2016,27.6304771,29.79166875,25.67948333,Idaho,0,2016,0.0,Idaho,0
2020,58.45991065,56.77421,59.41228167,Idaho,1,2020,1.0,Idaho,1
2020,36.77358548,38.31631667,34.59893208,Idaho,0,2020,0.0,Idaho,0
