cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,45.81344894,47.71475988,43.75238157,Illinois,1,1988,0.4090909090909091,Illinois,1
1988,44.41209848,44.87497025,47.63822743,Illinois,0,1988,0.5909090909090908,Illinois,0
1992,46.450894,44.77122,46.14818817,Illinois,0,1992,0.6363636363636364,Illinois,1
1992,29.5303701,32.89091533,33.097509,Illinois,1,1992,0.36363636363636365,Illinois,0
1996,51.74532529,50.4154846,52.61919323,Illinois,0,1996,0.6,Illinois,1
1996,33.03196506,34.6148674,32.743182,Illinois,1,1996,0.4,Illinois,0
2000,45.57390974,46.43526286,47.28545783,Illinois,0,2000,0.5,Illinois,1
2000,39.31142226,41.78420971,37.94515267,Illinois,1,2000,0.5,Illinois,0
2004,41.15416268,42.788786,42.23683097,Illinois,1,2004,0.5,Illinois,0
2004,51.23999645,52.137962,48.579464,Illinois,0,2004,0.5,Illinois,1
2008,56.17357023,59.5191355,54.01813293,Illinois,0,2008,0.5263157894736843,Illinois,1
2008,36.66772571,36.88090225,38.5873165,Illinois,1,2008,0.47368421052631576,Illinois,0
2012,53.99713694,55.72174683,53.66088103,Illinois,0,2012,0.631578947368421,Illinois,1
2012,37.33339887,39.241888,34.89111027,Illinois,1,2012,0.3684210526315789,Illinois,0
2016,33.04062258,36.57578875,33.879104999999996,Illinois,1,2016,0.3333333333333333,Illinois,0
2016,50.11985452,50.862815000000005,47.917691,Illinois,0,2016,0.6666666666666667,Illinois,1
2020,38.77779742,39.72775333,39.81810667,Illinois,1,2020,0.3888888888888889,Illinois,0
2020,55.64252097,54.94337667,52.91033667,Illinois,0,2020,0.6111111111111112,Illinois,1
