cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,54.44710471,55.784065000000005,52.86450043,Indiana,1,1988,0.5,Indiana,1
1988,34.97883119,34.25547225,36.11725173,Indiana,0,1988,0.5,Indiana,0
1992,36.74463339,34.34497967,37.96808593,Indiana,0,1992,0.7,Indiana,0
1992,40.64142126,40.803331,46.27484824,Indiana,1,1992,0.3,Indiana,1
1996,39.91133632,38.696434,39.9054985,Indiana,0,1996,0.7,Indiana,0
1996,41.00581519,41.067409999999995,40.7217189,Indiana,1,1996,0.3,Indiana,1
2000,34.41150584,33.89558614,37.08185557,Indiana,0,2000,0.4,Indiana,0
2000,47.562707,54.16990243,46.50933897,Indiana,1,2000,0.6,Indiana,1
2004,57.25909665,57.380412,55.55813727,Indiana,1,2004,0.6,Indiana,1
2004,35.65742016,37.1481335,35.23362987,Indiana,0,2004,0.4,Indiana,0
2008,45.9298759,46.90495825,44.38189087,Indiana,0,2008,0.2222222222222222,Indiana,1
2008,46.96630739,47.8718,47.99939273,Indiana,1,2008,0.7777777777777778,Indiana,0
2012,41.088073,41.917964000000005,40.88401927,Indiana,0,2012,0.625,Indiana,0
2012,52.70640155,53.303826,49.93339563,Indiana,1,2012,0.375,Indiana,1
2016,46.02879452,49.777885,47.33826567,Indiana,1,2016,0.7777777777777778,Indiana,1
2016,37.84219645,37.767555,35.89693433,Indiana,0,2016,0.2222222222222222,Indiana,0
2020,51.91274903,52.29236333,53.29434200000001,Indiana,1,2020,0.7777777777777778,Indiana,1
2020,41.08579226,41.97169333,38.885418,Indiana,0,2020,0.2222222222222222,Indiana,0
