cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,47.85460267,49.0002465,47.28262,Louisiana,1,1988,0.25,Louisiana,1
1988,37.74857089,39.39491975,35.22672820000001,Louisiana,0,1988,0.75,Louisiana,0
1992,38.8626641,38.91704,37.95850897,Louisiana,0,1992,0.5,Louisiana,1
1992,33.5802071,35.53350800000001,33.920727500000005,Louisiana,1,1992,0.5,Louisiana,0
1996,46.66619674,46.53001939999999,46.11224773,Louisiana,0,1996,0.5714285714285714,Louisiana,1
1996,36.12856042,35.8217872,36.82034593,Louisiana,1,1996,0.42857142857142855,Louisiana,0
2000,38.57373539,39.40513586,36.66221447,Louisiana,0,2000,0.2857142857142857,Louisiana,0
2000,44.10569329,47.641636,41.7962556,Louisiana,1,2000,0.7142857142857143,Louisiana,1
2004,51.79640548,52.3142025,53.6732908,Louisiana,1,2004,0.7142857142857143,Louisiana,1
2004,36.43924906,36.2234305,34.54232243,Louisiana,0,2004,0.2857142857142857,Louisiana,0
2008,41.18369758,41.98614475,39.02263003,Louisiana,0,2008,0.2857142857142857,Louisiana,0
2008,51.69321874,52.08294425,53.56106837,Louisiana,1,2008,0.7142857142857143,Louisiana,1
2012,36.46991213,36.67589267,38.76882873,Louisiana,0,2012,0.1428571428571429,Louisiana,0
2012,54.78187245,55.67020933,45.96209473,Louisiana,1,2012,0.8571428571428571,Louisiana,1
2016,48.62045419,50.06545625,49.14239233,Louisiana,1,2016,0.8333333333333334,Louisiana,1
2016,36.39906,36.91077,35.66291467,Louisiana,0,2016,0.16666666666666663,Louisiana,0
2020,54.16755097,57.68870667,52.529729,Louisiana,1,2020,0.8333333333333334,Louisiana,1
2020,38.99313935,36.96276,39.813826,Louisiana,0,2020,0.16666666666666663,Louisiana,0
