cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,46.73394532,46.67203625,43.7080065,Michigan,1,1988,0.3888888888888889,Michigan,1
1988,42.58138939,42.79886488,41.26762307,Michigan,0,1988,0.6111111111111112,Michigan,0
1992,43.59820765,39.06903233,42.32066487,Michigan,0,1992,0.6111111111111112,Michigan,1
1992,30.92501635,32.61894833,35.50752647,Michigan,1,1992,0.3888888888888889,Michigan,0
1996,48.30020632,47.30112860000001,49.22556087,Michigan,0,1996,0.625,Michigan,1
1996,33.92689135,34.6743466,33.99027007,Michigan,1,1996,0.375,Michigan,0
2000,42.23119948,45.65483671,41.50490863,Michigan,0,2000,0.625,Michigan,1
2000,43.45956587,43.45772257,41.69905383,Michigan,1,2000,0.375,Michigan,0
2004,44.44039568,45.051689,45.1038917,Michigan,1,2004,0.4375,Michigan,0
2004,48.65491439,48.718391,46.79454947,Michigan,0,2004,0.5625,Michigan,1
2008,51.75319771,53.702902,47.56165803,Michigan,0,2008,0.4,Michigan,1
2008,39.97696574,40.39696525,43.860171,Michigan,1,2008,0.6,Michigan,0
2012,49.36896926,49.54796983,48.785587,Michigan,0,2012,0.5333333333333333,Michigan,1
2012,44.25056813,45.3906945,42.81953033,Michigan,1,2012,0.4666666666666667,Michigan,0
2016,37.13221871,41.20910875,37.86537733,Michigan,1,2016,0.6428571428571429,Michigan,1
2016,45.10832452,45.5531175,42.51461767,Michigan,0,2016,0.3571428571428571,Michigan,0
2020,42.7862429,43.15237333,42.68178567,Michigan,1,2020,0.6923076923076923,Michigan,0
2020,50.63295129,51.15499667,49.81474833,Michigan,0,2020,0.3076923076923077,Michigan,1
