cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,48.29500716,52.39735875,42.2709893,New Jersey,1,1988,0.42857142857142855,New Jersey,1
1988,37.64939823,40.28279563,31.9951249,New Jersey,0,1988,0.5714285714285714,New Jersey,0
1992,43.04550326,39.111969,44.05711820000001,New Jersey,0,1992,0.5384615384615384,New Jersey,1
1992,31.38696335,32.03506367,36.00172413,New Jersey,1,1992,0.46153846153846156,New Jersey,0
1996,49.68481097,48.637142,50.94837953,New Jersey,0,1996,0.5384615384615384,New Jersey,1
1996,33.13509455,31.496159,34.56433013,New Jersey,1,1996,0.46153846153846156,New Jersey,0
2000,46.71440019,47.710884,46.84372163,New Jersey,0,2000,0.46153846153846156,New Jersey,1
2000,36.77490271,39.03373071,35.59728167,New Jersey,1,2000,0.5384615384615384,New Jersey,0
2004,43.20957161,41.848388,43.74374763,New Jersey,1,2004,0.46153846153846156,New Jersey,0
2004,49.187701,49.0823955,46.31605583,New Jersey,0,2004,0.5384615384615384,New Jersey,1
2008,53.00578455,54.80526025,49.52007307,New Jersey,0,2008,0.5,New Jersey,1
2008,39.2777021,38.106201,42.22526387,New Jersey,1,2008,0.5,New Jersey,0
2012,52.04112635,52.33662817,51.5814102,New Jersey,0,2012,0.6153846153846154,New Jersey,1
2012,41.04128816,41.567017,39.41056703,New Jersey,1,2012,0.38461538461538464,New Jersey,0
2016,36.78221548,38.00415,37.06306267,New Jersey,1,2016,0.5454545454545454,New Jersey,0
2016,49.37764161,51.7981825,47.012706,New Jersey,0,2016,0.4545454545454546,New Jersey,1
2020,36.54412968,37.69376333,36.146565,New Jersey,1,2020,0.4166666666666667,New Jersey,0
2020,56.49947065,58.81753667,55.38629533,New Jersey,0,2020,0.5833333333333333,New Jersey,1
