cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,43.35256242,46.17912563,41.901752,New York,1,1988,0.4411764705882353,New York,0
1988,46.56260587,45.7048975,48.0462133,New York,0,1988,0.5588235294117647,New York,1
1992,51.27812106,48.00412033,47.91303477,New York,0,1992,0.6176470588235294,New York,1
1992,28.6373329,28.753226,32.25109703,New York,1,1992,0.38235294117647056,New York,0
1996,55.54057474,54.71264820000001,55.94429873,New York,0,1996,0.5806451612903225,New York,1
1996,29.65037913,28.791753600000003,31.01768343,New York,1,1996,0.41935483870967744,New York,0
2000,53.85523313,52.65072171,53.61169273,New York,0,2000,0.5666666666666667,New York,1
2000,33.12396284,35.699193,32.31492653,New York,1,2000,0.43333333333333335,New York,0
2004,37.17366423,37.9575305,38.71613537,New York,1,2004,0.3870967741935484,New York,0
2004,53.74432406,54.8619575,51.4136041,New York,0,2004,0.6129032258064516,New York,1
2008,58.66503116,61.51781550000001,52.82421493,New York,0,2008,0.6896551724137931,New York,1
2008,34.39229416,33.329332,38.5062194,New York,1,2008,0.3103448275862069,New York,0
2012,59.34737374,59.86475317,59.28468767,New York,0,2012,0.896551724137931,New York,1
2012,35.96390452,36.13141383,34.64244673,New York,1,2012,0.10344827586206896,New York,0
2016,32.21815323,33.976975,33.525467,New York,1,2016,0.2222222222222222,New York,0
2016,52.1927529,53.67475375,50.36933967,New York,0,2016,0.7777777777777778,New York,1
2020,31.72833065,32.64723667,33.39495333,New York,1,2020,0.34615384615384615,New York,0
2020,62.10825484,62.50702667,60.14931067,New York,0,2020,0.6538461538461539,New York,1
