cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,52.26765613,53.86039363,45.8852559,North Dakota,1,1988,0.0,North Dakota,1
1988,36.20799413,35.52647063,45.03169933,North Dakota,0,1988,1.0,North Dakota,0
1992,34.31645235,31.03916833,34.73192087,North Dakota,0,1992,1.0,North Dakota,0
1992,36.86633371,39.11059567,39.9207493,North Dakota,1,1992,0.0,North Dakota,1
1996,38.27520274,36.1186928,42.85891397,North Dakota,0,1996,1.0,North Dakota,0
1996,42.33896042,41.504964,41.18636403,North Dakota,1,1996,0.0,North Dakota,1
2000,34.37252368,34.63683514,34.40629491,North Dakota,0,2000,1.0,North Dakota,0
2000,50.78584123,51.05874257,53.09696555,North Dakota,1,2000,0.0,North Dakota,1
2004,60.13369719,58.220533,62.16621916,North Dakota,1,2004,0.0,North Dakota,1
2004,33.73175577,34.6572805,32.40371242,North Dakota,0,2004,1.0,North Dakota,0
2008,44.788798,44.91188325,43.139311,North Dakota,0,2008,1.0,North Dakota,0
2008,45.58915974,45.8144425,46.81325253,North Dakota,1,2008,0.0,North Dakota,1
2012,37.62166958,38.87967167,36.13615363,North Dakota,0,2012,1.0,North Dakota,0
2012,54.26175529,54.995402,51.33549293,North Dakota,1,2012,0.0,North Dakota,1
2016,47.92582097,54.36546375,50.93378933,North Dakota,1,2016,1.0,North Dakota,1
2016,31.16872516,30.08051625,28.162397,North Dakota,0,2016,0.0,North Dakota,0
2020,57.0692329,56.10088,54.050665,North Dakota,1,2020,1.0,North Dakota,1
2020,37.09544355,38.78673333,39.009702,North Dakota,0,2020,0.0,North Dakota,0
