cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,49.63857681,49.43853288,49.0243167,Oregon,1,1988,0.4,Oregon,0
1988,46.48754419,47.04651913,47.16181603,Oregon,0,1988,0.6,Oregon,1
1992,43.29048571,40.43485933,37.73755477,Oregon,0,1992,0.6,Oregon,1
1992,28.61624216,29.55293467,33.32440507,Oregon,1,1992,0.4,Oregon,0
1996,50.11693926,48.0023748,51.62271173,Oregon,0,1996,0.8,Oregon,1
1996,34.4210179,35.6772756,35.96532607,Oregon,1,1996,0.2,Oregon,0
2000,41.54747432,43.48372957,42.40102267,Oregon,0,2000,0.8,Oregon,1
2000,42.68321429,45.35224829,38.99246817,Oregon,1,2000,0.2,Oregon,0
2004,45.10656971,45.4242,46.2429368,Oregon,1,2004,0.2,Oregon,0
2004,49.18910994,50.5943825,45.83692723,Oregon,0,2004,0.8,Oregon,1
2008,52.855583,54.89364250000001,49.33313363,Oregon,0,2008,0.8,Oregon,1
2008,39.00302297,39.682911,42.31416663,Oregon,1,2008,0.2,Oregon,0
2012,49.22035497,48.15368167,49.7143235,Oregon,0,2012,0.8,Oregon,1
2012,43.72849852,43.0655795,42.70776373,Oregon,1,2012,0.2,Oregon,0
2016,35.76260323,36.88567875,33.98043567,Oregon,1,2016,0.2,Oregon,0
2016,46.54842839,46.5890975,43.446997,Oregon,0,2016,0.8,Oregon,1
2020,37.76983065,37.64001667,39.0311975,Oregon,1,2020,0.2,Oregon,0
2020,56.89195,58.35872,51.08640850000001,Oregon,0,2020,0.8,Oregon,1
