cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,53.85953039,56.40803975,51.5754631,South Carolina,1,1988,0.5,South Carolina,1
1988,37.11229058,37.10200025,37.81639233,South Carolina,0,1988,0.5,South Carolina,0
1992,34.7736579,34.39408633,34.4378467,South Carolina,0,1992,0.6666666666666667,South Carolina,0
1992,40.85977845,41.38743333,42.20762593,South Carolina,1,1992,0.3333333333333333,South Carolina,1
1996,41.70313887,40.9662614,41.84977257,South Carolina,0,1996,0.5,South Carolina,0
1996,48.4373599,49.3134588,48.1062999,South Carolina,1,1996,0.5,South Carolina,1
2000,38.42858884,39.15832329,38.24835973,South Carolina,0,2000,0.33333333333333337,South Carolina,0
2000,51.62125781,53.41215129,47.76686903,South Carolina,1,2000,0.6666666666666666,South Carolina,1
2004,54.97177319,54.928796,54.5174279,South Carolina,1,2004,0.6666666666666666,South Carolina,1
2004,38.85608748,39.638748,39.76002477,South Carolina,0,2004,0.33333333333333337,South Carolina,0
2008,41.553558,43.00883625,40.96911710000001,South Carolina,0,2008,0.33333333333333337,South Carolina,0
2008,52.43994742,52.32117225,49.5871487,South Carolina,1,2008,0.6666666666666666,South Carolina,1
2012,44.15255139,44.30331267,44.29491707,South Carolina,0,2012,0.33333333333333337,South Carolina,0
2012,47.38731977,47.79253583,46.084623,South Carolina,1,2012,0.6666666666666666,South Carolina,1
2016,45.50755774,46.8408825,46.644687,South Carolina,1,2016,0.8571428571428571,South Carolina,1
2016,39.47418065,40.30126125,37.80618967,South Carolina,0,2016,0.1428571428571429,South Carolina,0
2020,50.61360548,51.52709,50.576278,South Carolina,1,2020,0.8571428571428571,South Carolina,1
2020,43.85539645,44.17951667,43.66589367,South Carolina,0,2020,0.1428571428571429,South Carolina,0
