cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,53.66280974,53.78981375,49.9105168,Texas,1,1988,0.37037037037037035,Texas,1
1988,39.85093461,41.49400963,42.60806097,Texas,0,1988,0.6296296296296297,Texas,0
1992,36.75369619,36.55658533,38.3450225,Texas,0,1992,0.7037037037037037,Texas,0
1992,34.5556579,37.95704467,35.38317333,Texas,1,1992,0.2962962962962963,Texas,1
1996,40.17502658,40.46039879999999,40.46999593,Texas,0,1996,0.7,Texas,0
1996,45.40298448,46.3456388,44.79497527,Texas,1,1996,0.3,Texas,1
2000,28.72255816,31.01198571,29.6472664,Texas,0,2000,0.5666666666666667,Texas,0
2000,60.12751103,60.28344943,58.69795067,Texas,1,2000,0.43333333333333335,Texas,1
2004,58.23984735,58.686303,59.2090061,Texas,1,2004,0.43333333333333335,Texas,1
2004,35.49166029,36.233143,33.12935797,Texas,0,2004,0.5666666666666667,Texas,0
2008,41.35132848,43.06437225,39.47058063,Texas,0,2008,0.34375,Texas,0
2008,51.39056271,54.757718,51.59213023,Texas,1,2008,0.65625,Texas,1
2012,39.47919771,39.01321583,39.65156287,Texas,0,2012,0.375,Texas,0
2012,56.13861609999999,57.62798967,52.50874283,Texas,1,2012,0.625,Texas,1
2016,44.16924,48.0835,43.64373133,Texas,1,2016,0.6666666666666666,Texas,1
2016,39.21701742,39.00557375,35.806782,Texas,0,2016,0.33333333333333337,Texas,0
2020,48.11876194,48.57353,47.57088067,Texas,1,2020,0.6944444444444444,Texas,1
2020,46.73574452,47.44320667,46.34298533,Texas,0,2020,0.3055555555555556,Texas,0
