cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,62.44440539,65.55232738,60.12578833,Utah,1,1988,1.0,Utah,1
1988,31.49185745,30.91685325,32.65628011,Utah,0,1988,0.0,Utah,0
1992,39.21773403,39.34353133,46.1229264,Utah,1,1992,0.6666666666666666,Utah,1
1992,21.08703523,25.06311567,16.48036867,Utah,0,1992,0.33333333333333337,Utah,0
1996,34.25507335,33.5577568,36.04548763,Utah,0,1996,0.6666666666666667,Utah,0
1996,46.81163742,47.4335584,46.85488953,Utah,1,1996,0.3333333333333333,Utah,1
2000,27.4754381,25.27778771,28.207259000000004,Utah,0,2000,0.0,Utah,0
2000,60.24290255,62.839813,57.23762536,Utah,1,2000,1.0,Utah,1
2004,66.82468513,68.214186,67.6927797,Utah,1,2004,0.6666666666666666,Utah,1
2004,24.89907094,24.5516655,24.81972113,Utah,0,2004,0.33333333333333337,Utah,0
2008,31.46394706,33.32970425,29.747148100000004,Utah,0,2008,0.33333333333333337,Utah,0
2008,59.69996313,58.90511025,60.93346697,Utah,1,2008,0.6666666666666666,Utah,1
2012,24.43876171,24.727748,26.83888807,Utah,0,2012,0.33333333333333337,Utah,0
2012,71.17114606,70.903879,68.8925941,Utah,1,2012,0.6666666666666666,Utah,1
2016,32.97141032,36.50060375,36.56517367,Utah,1,2016,0.75,Utah,1
2016,26.22098,26.9688875,26.61395267,Utah,0,2016,0.25,Utah,0
2020,51.2567971,52.03253333,48.91510033,Utah,1,2020,1.0,Utah,1
2020,39.46553258,41.94645,36.94366033,Utah,0,2020,0.0,Utah,0
