cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,53.78696523,55.162765500000006,53.1171392,Virginia,1,1988,0.6,Virginia,1
1988,37.50836481,37.630845,37.4484847,Virginia,0,1988,0.4,Virginia,0
1992,36.24138706,35.367503,38.26317433,Virginia,0,1992,0.5,Virginia,0
1992,37.69635697,40.481625,40.91437670000001,Virginia,1,1992,0.5,Virginia,1
1996,45.36351323,42.9235486,46.16251427,Virginia,0,1996,0.6363636363636364,Virginia,0
1996,41.86850748,41.9084324,41.76309117,Virginia,1,1996,0.36363636363636365,Virginia,1
2000,39.27781774,41.91486214,41.1671721,Virginia,0,2000,0.5454545454545454,Virginia,0
2000,49.7389989,50.01675,49.56004793,Virginia,1,2000,0.45454545454545453,Virginia,1
2004,49.61500135,49.815851,50.56293787,Virginia,1,2004,0.7,Virginia,1
2004,43.92169939,44.2341315,41.24330963,Virginia,0,2004,0.30000000000000004,Virginia,0
2008,49.92609242,50.284117,46.36291337,Virginia,0,2008,0.2727272727272727,Virginia,0
2008,44.35528474,44.945515,47.4547116,Virginia,1,2008,0.7272727272727273,Virginia,1
2012,47.29362597,48.12906267,47.7175971,Virginia,0,2012,0.5454545454545454,Virginia,1
2012,47.68381687,47.38081867,45.6688154,Virginia,1,2012,0.45454545454545453,Virginia,0
2016,37.40908258,41.2685925,38.79736167,Virginia,1,2016,0.7,Virginia,0
2016,45.79742226,47.01467625,43.718897,Virginia,0,2016,0.30000000000000004,Virginia,1
2020,40.64868129,42.0294,40.726759,Virginia,1,2020,0.6363636363636364,Virginia,0
2020,52.75679419,53.64116667,51.3953,Virginia,0,2020,0.36363636363636365,Virginia,1
