cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
1988,36.08074277,37.0754005,35.1993745,West Virginia,1,1988,0.0,West Virginia,0
1988,42.99720826,42.65426688,43.651518,West Virginia,0,1988,1.0,West Virginia,1
1992,46.72942326,45.335365,45.5221045,West Virginia,0,1992,1.0,West Virginia,1
1992,30.31351816,29.39564733,35.25323843,West Virginia,1,1992,0.0,West Virginia,0
1996,53.09597261,50.6425336,54.95648937,West Virginia,0,1996,1.0,West Virginia,1
1996,33.44898739,34.513104,33.89208757,West Virginia,1,1996,0.0,West Virginia,0
2000,41.59604842,41.68558571,42.70949857,West Virginia,0,2000,1.0,West Virginia,0
2000,43.28112342,46.38985571,42.50010373,West Virginia,1,2000,0.0,West Virginia,1
2004,48.12760835,50.965807,47.6051977,West Virginia,1,2004,0.3333333333333333,West Virginia,1
2004,45.38139203,44.5827445,45.09551233,West Virginia,0,2004,0.6666666666666667,West Virginia,0
2008,43.56504239,41.26571225,39.01437353,West Virginia,0,2008,0.6666666666666667,West Virginia,0
2008,47.79410648,53.26028925,49.15249797,West Virginia,1,2008,0.3333333333333333,West Virginia,1
2012,38.57455906,38.74286767,38.58446837,West Virginia,0,2012,0.6666666666666667,West Virginia,0
2012,55.2658921,55.99645567,53.86595787,West Virginia,1,2012,0.3333333333333333,West Virginia,1
2016,56.61701903,57.27482,55.87874100000001,West Virginia,1,2016,0.6666666666666666,West Virginia,1
2016,30.06603161,28.8333775,28.09961233,West Virginia,0,2016,0.33333333333333337,West Virginia,0
2020,60.55090645,61.9643,62.76502933,West Virginia,1,2020,1.0,West Virginia,1
2020,35.16394548,33.72926,33.333363,West Virginia,0,2020,0.0,West Virginia,0
