month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
45.81344894,47.71475988,43.75238157,1,1988,0.4090909090909091,Illinois,1,1.0,53.37,196.66050277979213,199214.06
44.41209848,44.87497025,47.63822743,0,1988,0.5909090909090908,Illinois,0,1.0,45.65,196.66050277979213,199214.06
46.450894,44.77122,46.14818817,0,1992,0.6363636363636364,Illinois,1,1.0,43.01,200.89086294416245,212636.84000000003
29.5303701,32.89091533,33.097509,1,1992,0.3636363636363637,Illinois,0,1.0,37.45,200.89086294416245,212636.84000000003
51.74532529,50.4154846,52.61919323,0,1996,0.6,Illinois,1,0.6,49.23,206.37803446251598,226642.52000000002
33.03196506,34.6148674,32.743182,1,1996,0.4,Illinois,0,0.6,40.72,206.37803446251598,226642.52000000002
45.57390974,46.43526286,47.28545783,0,2000,0.5,Illinois,1,0.3,48.38,214.68560723781897,237236.86000000002
39.31142226,41.78420971,37.94515267,1,2000,0.5,Illinois,0,0.3,47.87,214.68560723781897,237236.86000000002
41.15416268,42.788786,42.23683097,1,2004,0.5,Illinois,0,0.1,50.73,217.37237128353885,250908.35
51.23999645,52.137962,48.579464,0,2004,0.5,Illinois,1,0.1,48.27,217.37237128353885,250908.35
56.17357023,59.5191355,54.01813293,0,2008,0.5263157894736843,Illinois,1,0.0,52.93,220.0876756794088,263120.65
36.66772571,36.88090225,38.5873165,1,2008,0.4736842105263158,Illinois,0,0.0,45.66,220.0876756794088,263120.65
53.99713694,55.72174683,53.66088103,0,2012,0.631578947368421,Illinois,1,0.0,51.06,222.27568286197726,276365.25
37.33339887,39.241888,34.89111027,1,2012,0.3684210526315789,Illinois,0,0.0,47.2,222.27568286197726,276365.25
33.04062258,36.57578875,33.879104999999996,1,2016,0.3333333333333333,Illinois,0,0.0,46.09,221.02867847646672,291786.35
50.11985452,50.86281500000001,47.917691,0,2016,0.6666666666666667,Illinois,1,0.0,48.18000000000001,221.02867847646672,291786.35
38.77779742,39.72775333,39.81810667,1,2020,0.3888888888888889,Illinois,0,0.0,46.525,218.57971615041959,308911.15
55.64252097,54.94337667,52.91033667,0,2020,0.6111111111111112,Illinois,1,0.0,52.46,218.57971615041959,308911.15
