month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
43.97977432,45.0197255,42.95510975,1,1988,0.6,Kansas,1,1.0,53.37,29.921440898373884,38793.07
34.49975761,33.51114175,38.56455875,0,1988,0.4,Kansas,0,1.0,45.65,29.921440898373884,38793.07
38.64064587,34.77820733,44.11795479,0,1992,0.4,Kansas,0,1.0,43.01,30.69981283877397,40880.6
35.44271632,36.48955233,39.69756643,1,1992,0.6,Kansas,1,1.0,37.45,30.69981283877397,40880.6
38.65155977,37.9932276,38.3838851,0,1996,0.5,Kansas,0,1.0,49.23,31.57757468219052,43239.05
48.84921019,49.78110820000001,47.73557333,1,1996,0.5,Kansas,1,1.0,40.72,31.57757468219052,43239.05
30.84880181,33.31199129,31.19453927,0,2000,0.0,Kansas,0,1.0,48.38,32.73718431734765,45341.6
56.30640368,56.92994771,55.21797927,1,2000,1.0,Kansas,1,1.0,47.87,32.73718431734765,45341.6
57.80097961,58.565275,58.89538639999999,1,2004,0.75,Kansas,1,1.0,50.73,33.231727473809585,48030.219999999994
36.13372229,34.880446,35.38465933,0,2004,0.25,Kansas,0,1.0,48.27,33.231727473809585,48030.219999999994
39.23902887,38.944132,37.13052037,0,2008,0.25,Kansas,0,1.0,52.93,34.12746408692059,50643.86
53.62304116,55.23217775,55.98936693,1,2008,0.75,Kansas,1,1.0,45.66,34.12746408692059,50643.86
35.78673561,35.99758583,36.15298457,0,2012,0.25,Kansas,0,1.0,51.06,35.07408667752364,53207.090000000004
57.53525032,57.982167,55.90364663,1,2012,0.75,Kansas,1,1.0,47.2,35.07408667752364,53207.090000000004
45.75318710000001,49.57298,45.24040933,1,2016,1.0,Kansas,1,1.0,46.09,35.33323205561362,55729.01000000001
37.14782806,36.93468375,35.496694,0,2016,0.0,Kansas,0,1.0,48.18000000000001,35.33323205561362,55729.01000000001
50.62326968,53.18193333,50.61003467,1,2020,1.0,Kansas,1,1.0,46.525,35.370554920881844,58690.92
42.66020452,41.20144000000001,41.31867167,0,2020,0.0,Kansas,0,1.0,52.46,35.370554920881844,58690.92
