month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
46.48313710000001,50.53291038,43.83391873,1,1988,0.42857142857142855,Kentucky,1,0.8,53.37,91.06428942614636,47263.86
41.80042977,39.424997,42.37256823,0,1988,0.5714285714285714,Kentucky,0,0.8,45.65,91.06428942614636,47263.86
43.68717184,42.788203,45.28894243,0,1992,0.5714285714285714,Kentucky,1,0.9,43.01,92.9538491994754,50618.83
32.01448668,33.26395433,33.91762133,1,1992,0.42857142857142855,Kentucky,0,0.9,37.45,92.9538491994754,50618.83
45.92046568,45.742647,46.29834157,0,1996,0.5,Kentucky,1,0.6,49.23,96.039469451387,54142.86
38.66469887,41.2314964,35.15302457,1,1996,0.5,Kentucky,0,0.6,40.72,96.039469451387,54142.86
41.11714397,40.75618786,41.21350417,0,2000,0.16666666666666666,Kentucky,0,0.3,48.38,100.19601098710748,57569.369999999995
47.38641452,52.99779057,47.16751253,1,2000,0.8333333333333334,Kentucky,1,0.3,47.87,100.19601098710748,57569.369999999995
55.5205649,57.3252695,55.2680336,1,2004,0.8333333333333334,Kentucky,1,0.5,50.73,102.59832718814184,61442.93000000001
38.84201923,38.4150375,38.76008893,0,2004,0.16666666666666666,Kentucky,0,0.5,48.27,102.59832718814184,61442.93000000001
40.32776803,41.0393985,37.0613778,0,2008,0.16666666666666666,Kentucky,0,0.7,52.93,106.15619509539482,64851.45
52.82566168,53.6581385,55.00761363,1,2008,0.8333333333333334,Kentucky,1,0.7,45.66,106.15619509539482,64851.45
38.07681158,38.21174767,38.92004217,0,2012,0.33333333333333337,Kentucky,0,0.9,51.06,108.47207443517854,68275.56
55.91457797,56.59965417,54.30842594,1,2012,0.6666666666666666,Kentucky,1,0.9,47.2,108.47207443517854,68275.56
47.38029581,54.07895125,48.965776,1,2016,0.8333333333333334,Kentucky,1,1.0,46.09,109.79619410556532,71684.62
31.39695032,33.15414875,30.35076367,0,2016,0.16666666666666666,Kentucky,0,1.0,48.18000000000001,109.79619410556532,71684.62
56.62537806,55.56570333,56.47347133,1,2020,0.8333333333333334,Kentucky,1,1.0,46.525,111.34814778154465,75499.0
38.86914355,39.76927,39.02336367,0,2020,0.16666666666666666,Kentucky,0,1.0,52.46,111.34814778154465,75499.0
