month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
56.21273171,57.75050188,54.39344337,1,1988,0.4,Mississippi,1,0.8,53.37,53.27563281991989,28556.35
36.23463874,36.066865,37.3135552,0,1988,0.6,Mississippi,0,0.8,45.65,53.27563281991989,28556.35
34.31734471,36.591175,31.66513857,0,1992,1.0,Mississippi,0,0.9,43.01,53.89174959739026,30528.01
43.69996332,40.314745,48.79437617,1,1992,0.0,Mississippi,1,0.9,37.45,53.89174959739026,30528.01
38.94892829,39.1775202,37.23272967,0,1996,1.0,Mississippi,0,1.0,49.23,55.95088161209068,32490.65
44.92859123,46.749139,40.70321653,1,1996,0.0,Mississippi,1,1.0,40.72,55.95088161209068,32490.65
39.61929752,37.72165143,44.0966552,0,2000,0.4,Mississippi,0,1.0,48.38,58.808956518148406,34425.21
48.72002887,52.22445843,47.69167517,1,2000,0.6,Mississippi,1,1.0,47.87,58.808956518148406,34425.21
54.55343532,54.67754300000001,59.27131107,1,2004,0.4,Mississippi,1,1.0,50.73,59.64838749638685,36673.439999999995
38.48034045,38.8856885,33.87236307,0,2004,0.6,Mississippi,0,1.0,48.27,59.64838749638685,36673.439999999995
42.16148339,41.374568,41.9603939,0,2008,0.5,Mississippi,0,1.0,52.93,60.862328116612304,39059.38
51.99619252,52.1573185,54.51474433,1,2008,0.5,Mississippi,1,1.0,45.66,60.862328116612304,39059.38
50.22440226,49.82328875,50.594861,1,2016,0.75,Mississippi,1,1.0,46.09,61.707189164636404,44772.58
41.90332677,41.25780375,40.66510067,0,2016,0.25,Mississippi,0,1.0,48.18000000000001,61.707189164636404,44772.58
53.88435935,55.52973667,53.16115133,1,2020,0.75,Mississippi,1,1.0,46.525,61.718214477433214,47654.95
40.06637968,39.45848333,40.97630633,0,2020,0.25,Mississippi,0,1.0,52.46,61.718214477433214,47654.95
