month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
53.85953039,56.40803975,51.5754631,1,1988,0.5,South Carolina,1,0.8,53.37,106.60468022620053,44751.77
37.11229058,37.10200025,37.81639233,0,1988,0.5,South Carolina,0,0.8,45.65,106.60468022620053,44751.77
34.7736579,34.39408633,34.4378467,0,1992,0.6666666666666667,South Carolina,0,0.9,43.01,112.49339207048456,48486.38
40.85977845,41.38743333,42.20762593,1,1992,0.3333333333333333,South Carolina,1,0.9,37.45,112.49339207048456,48486.38
41.70313887,40.9662614,41.84977257,0,1996,0.5,South Carolina,0,1.0,49.23,116.81738369731623,52397.28
48.4373599,49.3134588,48.1062999,1,1996,0.5,South Carolina,1,1.0,40.72,116.81738369731623,52397.28
38.42858884,39.15832329,38.24835973,0,2000,0.33333333333333337,South Carolina,0,1.0,48.38,125.72946542943731,55802.619999999995
51.62125781,53.41215129,47.76686903,1,2000,0.6666666666666666,South Carolina,1,1.0,47.87,125.72946542943731,55802.619999999995
54.97177319,54.928796,54.5174279,1,2004,0.6666666666666666,South Carolina,1,1.0,50.73,131.56250195269786,59276.119999999995
38.85608748,39.638748,39.76002477,0,2004,0.33333333333333337,South Carolina,0,1.0,48.27,131.56250195269786,59276.119999999995
41.553558,43.00883625,40.96911710000001,0,2008,0.33333333333333337,South Carolina,0,1.0,52.93,141.50017183741056,62589.79
52.43994742,52.32117225,49.5871487,1,2008,0.6666666666666666,South Carolina,1,1.0,45.66,141.50017183741056,62589.79
44.15255139,44.30331267,44.29491707,0,2012,0.33333333333333337,South Carolina,0,1.0,51.06,147.54962976848813,66164.06
47.38731977,47.79253583,46.084623,1,2012,0.6666666666666666,South Carolina,1,1.0,47.2,147.54962976848813,66164.06
45.50755774,46.8408825,46.644687,1,2016,0.8571428571428571,South Carolina,1,1.0,46.09,155.00106226762898,70060.55
39.47418065,40.30126125,37.80618967,0,2016,0.1428571428571429,South Carolina,0,1.0,48.18000000000001,155.00106226762898,70060.55
50.61360548,51.52709,50.576278,1,2020,0.8571428571428571,South Carolina,1,1.0,46.525,162.7800168713094,74317.03
43.85539645,44.17951667,43.66589367,0,2020,0.1428571428571429,South Carolina,0,1.0,52.46,162.7800168713094,74317.03
