month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
47.83102231,51.641748,46.1277263,1,1988,0.3333333333333333,Tennessee,1,0.8,53.37,114.4221752954017,66404.73000000001
40.18827814,39.64093863,40.828225,0,1988,0.6666666666666667,Tennessee,0,0.8,45.65,114.4221752954017,66404.73000000001
45.49742081,43.96998033,46.17662507,0,1992,0.6666666666666667,Tennessee,1,0.9,43.01,118.96737531438332,71574.76000000001
33.3589531,36.70458567,34.11059137,1,1992,0.3333333333333333,Tennessee,0,0.9,37.45,118.96737531438332,71574.76000000001
47.20583303,45.0835964,47.66116813,0,1996,0.6666666666666667,Tennessee,1,0.6,49.23,126.0754520001898,76715.2
37.99676635,41.7169418,37.4327032,1,1996,0.3333333333333333,Tennessee,0,0.6,40.72,126.0754520001898,76715.2
46.1032681,45.81341714,49.04173847,0,2000,0.4444444444444444,Tennessee,0,0.3,48.38,135.33239216058465,81488.88999999998
43.22554703,47.18855886,38.9757393,1,2000,0.5555555555555556,Tennessee,1,0.3,47.87,135.33239216058465,81488.88999999998
53.50489339,54.506027,51.6420181,1,2004,0.5555555555555556,Tennessee,1,0.5,50.73,140.2460257201158,87473.38999999998
41.11485087,42.413851,40.90597127,0,2004,0.4444444444444444,Tennessee,0,0.5,48.27,140.2460257201158,87473.38999999998
39.43061071,42.2420625,36.5846109,0,2008,0.5555555555555556,Tennessee,0,0.7,52.93,148.23259621316376,93632.75999999998
53.57671103,54.080641,54.85754613,1,2008,0.4444444444444444,Tennessee,1,0.7,45.66,148.23259621316376,93632.75999999998
40.16060655,39.09998633,40.52468253,0,2012,0.5555555555555556,Tennessee,0,0.9,51.06,153.1622692544963,100037.65
50.86667261,54.124364,48.17468973,1,2012,0.4444444444444444,Tennessee,1,0.9,47.2,153.1622692544963,100037.65
48.5941571,49.0931775,49.84983233,1,2016,0.7777777777777778,Tennessee,1,1.0,46.09,157.81317325487592,107118.59
35.57035161,38.49596125,32.09793567,0,2016,0.2222222222222222,Tennessee,0,1.0,48.18000000000001,157.81317325487592,107118.59
54.36909581,54.81758333,53.141783,1,2020,0.7777777777777778,Tennessee,1,1.0,46.525,163.65918473876525,113937.56999999999
40.90583194,41.39071,40.874932,0,2020,0.2222222222222222,Tennessee,0,1.0,52.46,163.65918473876525,113937.56999999999
