month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
53.78696523,55.162765500000006,53.1171392,1,1988,0.6,Virginia,1,1.0,53.37,141.1515116088756,104985.04
37.50836481,37.630845,37.4484847,0,1988,0.4,Virginia,0,1.0,45.65,141.1515116088756,104985.04
36.24138706,35.367503,38.26317433,0,1992,0.5,Virginia,0,1.0,43.01,149.25097617433187,113916.77000000002
37.69635697,40.481625,40.91437670000001,1,1992,0.5,Virginia,1,1.0,37.45,149.25097617433187,113916.77000000002
45.36351323,42.9235486,46.16251427,0,1996,0.6363636363636364,Virginia,0,1.0,49.23,155.84865206107227,121984.12
41.86850748,41.9084324,41.76309117,1,1996,0.3636363636363637,Virginia,1,1.0,40.72,155.84865206107227,121984.12
39.27781774,41.91486214,41.1671721,0,2000,0.5454545454545454,Virginia,0,1.0,48.38,166.14409969837968,128923.12
49.7389989,50.01675,49.56004793,1,2000,0.4545454545454545,Virginia,1,1.0,47.87,166.14409969837968,128923.12
49.61500135,49.815851,50.56293787,1,2004,0.7,Virginia,1,1.0,50.73,174.78956720989498,136215.23
43.92169939,44.2341315,41.24330963,0,2004,0.30000000000000004,Virginia,0,1.0,48.27,174.78956720989498,136215.23
49.92609242,50.284117,46.36291337,0,2008,0.2727272727272727,Virginia,0,1.0,52.93,183.15826883958007,143454.02
44.35528474,44.945515,47.4547116,1,2008,0.7272727272727273,Virginia,1,1.0,45.66,183.15826883958007,143454.02
47.29362597,48.12906267,47.7175971,0,2012,0.5454545454545454,Virginia,1,1.0,51.06,191.5738502186163,151082.97999999998
47.68381687,47.38081867,45.6688154,1,2012,0.4545454545454545,Virginia,0,1.0,47.2,191.5738502186163,151082.97999999998
37.40908258,41.2685925,38.79736167,1,2016,0.7,Virginia,0,0.6,46.09,196.6800252519348,159027.68
45.79742226,47.01467625,43.718897,0,2016,0.30000000000000004,Virginia,1,0.6,48.18000000000001,196.6800252519348,159027.68
40.64868129,42.0294,40.726759,1,2020,0.6363636363636364,Virginia,0,0.3,46.525,201.69304870350012,167111.84
52.75679419,53.64116667,51.3953,0,2020,0.3636363636363637,Virginia,1,0.3,52.46,201.69304870350012,167111.84
