month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
42.80077558,47.873078,39.8121084,1,1988,0.375,Washington,0,1.0,53.37,65.0729001584786,76011.79000000001
41.54023229,42.7062355,41.13516903,0,1988,0.625,Washington,1,1.0,45.65,65.0729001584786,76011.79000000001
45.90889013,42.46446067,45.58333447,0,1992,0.625,Washington,1,0.6,43.01,72.07285808451256,82736.33
30.04379955,29.66821067,33.77805457,1,1992,0.375,Washington,0,0.6,37.45,72.07285808451256,82736.33
48.14204245,47.2440222,47.04742183,0,1996,0.8888888890000001,Washington,1,0.3,49.23,77.27533203371527,90602.38
33.40081929,35.370686,33.60006567,1,1996,0.111111111,Washington,0,0.3,40.72,77.27533203371527,90602.38
43.70896523,45.59320571,42.8964922,0,2000,0.333333333,Washington,1,0.1,48.38,82.89289370713716,98455.97
40.42613823,44.33103943,38.38990113,1,2000,0.666666667,Washington,0,0.1,47.87,82.89289370713716,98455.97
43.74133452,45.438861,44.4337999,1,2004,0.333333333,Washington,0,0.0,50.73,86.65336661851534,106621.82999999999
51.77106365,51.7773725,49.27630857,0,2004,0.666666667,Washington,1,0.0,48.27,86.65336661851534,106621.82999999999
53.15625058,53.8818845,50.21074033,0,2008,0.666666667,Washington,1,0.0,52.93,92.03302806333534,113851.36000000002
40.45624065,40.5103085,42.8931878,1,2008,0.333333333,Washington,0,0.0,45.66,92.03302806333534,113851.36000000002
53.31125384,53.71364300000001,52.08704913,0,2012,0.666666667,Washington,1,0.0,51.06,96.7185812658654,120515.92
41.41367406,41.6569795,39.6414643,1,2012,0.333333333,Washington,0,0.0,47.2,96.7185812658654,120515.92
33.43031323,35.18865875,33.501477,1,2016,0.4,Washington,0,0.0,46.09,102.21168814776377,127326.42
46.83957968,50.01550625,43.64538533,0,2016,0.6,Washington,1,0.0,48.18000000000001,102.21168814776377,127326.42
34.59424613,36.10843333,33.747752,1,2020,0.4,Washington,0,0.0,46.525,109.3516401834425,135381.13999999998
59.62513097,59.10055333,59.2771,0,2020,0.6,Washington,1,0.0,52.46,109.3516401834425,135381.13999999998
