month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI
50.10322171,57.58408388,44.4806035,1,1988,1.0,Wyoming,1,1.0,53.37,4.754758837841706,7002.49
28.76211339,27.409227500000004,30.0017835,0,1988,0.0,Wyoming,0,1.0,45.65,4.754758837841706,7002.49
28.48053487,28.983954,28.14232025,0,1992,0.0,Wyoming,0,1.0,43.01,4.7382996994418205,7243.74
33.40408058,34.25411667,34.10946225,1,1992,1.0,Wyoming,1,1.0,37.45,4.7382996994418205,7243.74
38.29070613,37.712323,40.20135673,0,1996,0.0,Wyoming,0,1.0,49.23,4.907941278701262,7673.05
44.97505806,45.3071586,45.16950517,1,1996,1.0,Wyoming,1,1.0,40.72,4.907941278701262,7673.05
29.09992797,29.23472757,29.98453564,0,2000,0.0,Wyoming,0,1.0,48.38,5.053262180784722,8155.729999999999
59.68499061,61.311713,58.45731743,1,2000,1.0,Wyoming,1,1.0,47.87,5.053262180784722,8155.729999999999
33.93647003,33.63503425,31.83464050000001,0,2008,0.0,Wyoming,0,1.0,52.93,5.582234353595453,9154.98
58.82812939,60.27611,60.14847260000001,1,2008,1.0,Wyoming,1,1.0,45.66,5.582234353595453,9154.98
57.32047677,60.28322375,57.67812767,1,2016,1.0,Wyoming,1,1.0,46.09,5.985616144267926,10109.960000000001
21.30923065,22.2117725,20.76469767,0,2016,0.0,Wyoming,0,1.0,48.18000000000001,5.985616144267926,10109.960000000001
66.20989966,62.33691,66.2262782,1,2020,1.0,Wyoming,1,1.0,46.525,5.796734752295079,10593.189999999999
29.37502276,30.84256667,32.272552000000005,0,2020,0.0,Wyoming,0,1.0,52.46,5.796734752295079,10593.189999999999
