month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI,GDP
41.53640816,44.25335157,40.73359707,0,2000,0.5,Arkansas,0,0.3,48.38,50.36643977285547,34515.719999999994,65995.76999999999
45.27367997,46.856799,43.3786722,1,2000,0.5,Arkansas,1,0.3,47.87,50.36643977285547,34515.719999999994,65995.76999999999
49.76801968,49.8493885,49.3951819,1,2004,0.25,Arkansas,1,0.5,50.73,51.70332067240796,36987.11,68492.26000000001
45.23070242,46.1411375,44.96525413,0,2004,0.75,Arkansas,0,0.5,48.27,51.70332067240796,36987.11,68492.26000000001
40.14508548,43.21698625,36.9113606,0,2008,0.75,Arkansas,0,0.7,52.93,54.05125794441729,39311.25,71225.89
50.03789874,51.85917725,51.1380792,1,2008,0.25,Arkansas,1,0.7,45.66,54.05125794441729,39311.25,71225.89
32.91450829,32.80883067,33.21234573,0,2012,0.75,Arkansas,0,0.9,51.06,55.45673348125304,41798.75,74528.56999999999
59.02104448,59.59447783,58.28202247,1,2012,0.25,Arkansas,1,0.9,47.2,55.45673348125304,41798.75,74528.56999999999
53.22192065,53.52546625,51.26743133,1,2016,1.0,Arkansas,1,1.0,46.09,56.189086533037504,44453.58,79180.01999999999
34.25067548,33.98802,34.53667633,0,2016,0.0,Arkansas,0,1.0,48.18000000000001,56.189086533037504,44453.58,79180.01999999999
55.69382548,58.97041667,48.17843067,1,2020,1.0,Arkansas,1,1.0,46.525,57.143394381557684,47191.12999999999,84284.25
39.07888484,36.17415,45.05262167,0,2020,0.0,Arkansas,0,1.0,52.46,57.143394381557684,47191.12999999999,84284.25
