month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI,GDP
39.61929752,37.72165143,44.0966552,0,2000,0.4,Mississippi,0,1.0,48.38,58.808956518148406,34425.21,63416.530000000006
48.72002887,52.22445843,47.69167517,1,2000,0.6,Mississippi,1,1.0,47.87,58.808956518148406,34425.21,63416.530000000006
54.55343532,54.67754300000001,59.27131107,1,2004,0.4,Mississippi,1,1.0,50.73,59.64838749638685,36673.44,65394.65
38.48034045,38.8856885,33.87236307,0,2004,0.6,Mississippi,0,1.0,48.27,59.64838749638685,36673.44,65394.65
42.16148339,41.374568,41.9603939,0,2008,0.5,Mississippi,0,1.0,52.93,60.862328116612304,39059.38,67259.86
51.99619252,52.1573185,54.51474433,1,2008,0.5,Mississippi,1,1.0,45.66,60.862328116612304,39059.38,67259.86
50.22440226,49.82328875,50.594861,1,2016,0.75,Mississippi,1,1.0,46.09,61.707189164636404,44772.58,73517.35
41.90332677,41.25780375,40.66510067,0,2016,0.25,Mississippi,0,1.0,48.18000000000001,61.707189164636404,44772.58,73517.35
53.88435935,55.52973667,53.16115133,1,2020,0.75,Mississippi,1,1.0,46.525,61.718214477433214,47654.95,77300.76999999999
40.06637968,39.45848333,40.97630633,0,2020,0.25,Mississippi,0,1.0,52.46,61.718214477433214,47654.95,77300.76999999999
