month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI,GDP
41.63381374,41.31014157,42.71177543,0,2000,0.5,North Carolina,0,1.0,48.38,150.15726203526503,115711.63999999998,263435.19
47.21336561,50.81234971,45.4348359,1,2000,0.5,North Carolina,1,1.0,47.87,150.15726203526503,115711.63999999998,263435.19
51.36248816,51.6988505,51.98524133,1,2004,0.5833333333333334,North Carolina,1,1.0,50.73,158.9184890656064,123911.76,276332.25
43.65827068,43.46926550000001,42.78624053,0,2004,0.4166666666666666,North Carolina,0,1.0,48.27,158.9184890656064,123911.76,276332.25
47.98958971,48.384223,44.43672983,0,2008,0.4615384615384616,North Carolina,1,1.0,52.93,172.97056910871223,132416.7,287700.55999999994
46.55244935,47.28269875,48.55667853,1,2008,0.5384615384615384,North Carolina,0,1.0,45.66,172.97056910871223,132416.7,287700.55999999994
46.21012216,46.3722685,46.02774327,0,2012,0.6153846153846154,North Carolina,0,0.6,51.06,181.1222571115364,141394.84,298548.9
49.33157506,49.50553217,47.80818467,1,2012,0.38461538461538464,North Carolina,1,0.6,47.2,181.1222571115364,141394.84,298548.9
42.44240387,45.15434625,42.81088067,1,2016,0.75,North Carolina,1,0.7,46.09,188.52841827539442,151328.61000000002,312115.57
45.05280935,46.47452,42.79369733,0,2016,0.25,North Carolina,0,0.7,48.18000000000001,188.52841827539442,151328.61000000002,312115.57
46.31194065,47.02798667,46.59305967,1,2020,0.7857142857142857,North Carolina,1,0.8,46.525,197.17024953085223,161835.04,330378.62
48.85584871,48.84857667,47.92019733,0,2020,0.2142857142857143,North Carolina,0,0.8,52.46,197.17024953085223,161835.04,330378.62
