President_winning,Date,NAP06,NAP07,NAP08,NAP09,NAP10,Current_President_Seeking_Reelection,Early_Stopping_Previous,2nd_Mandate_Prev_Pres,Year0,Year1,Year2,Electiony1,Electiony2,Electiony3,Electiony4,payroll_y1,payroll_y2,payroll_y3,payroll_ey1,payroll_ey2,payroll_ey3,rdi_y0,rdi_y1,rdi_y2,rdi_ey,Stock_y1,Stock_y2,Stock_y3,Stock_ey
Truman,1948,0.48,0.52,0.6,0.65,0.68,0.0,0.0,0.0,2238.932,2068.901,2055.103,2086.0170000000007,2120.45,2132.598,2134.981,38600,43093,44411,45178,45294,45245,-1.1,-1.1,-4.1,5.3,0.2665,-0.0814,0.0223,-0.0213
Eisenhower,1952,0.33,0.34,0.32,0.31,0.3,0.0,0.0,1.0,2102.251,2383.291,2513.69,2540.55,2546.022,2564.401,2648.621,42942,46706,48006,48924,49320,49597,0.8,9.2,3.4,3.5,0.1288,0.17629999999999998,0.1437,0.0842
Eisenhower,1956,0.68,0.7,0.72,0.74,0.76,1.0,0.0,0.0,2662.482,2735.091,2914.993,2903.671,2927.665,2925.035,2973.179,50240,48942,51429,52631,52604,52777,4.8,1.4,6.7,4.8,-0.0377,0.4396,0.2077,0.0227
JFK,1960,0.48,0.63,0.6,0.56,0.58,0.0,0.0,1.0,2983.7270000000008,3063.085,3203.759,3275.757,3258.088,3274.0290000000005,3232.009,52763,51485,53358,54272,54227,54142,2.6,1.0,4.4,2.6,-0.1277,0.3396,0.16399999999999998,-0.0934
Johnson,1964,0.69,0.68,0.67,0.68,0.67,1.0,1.0,0.0,3438.7209999999995,3586.827,3771.845,3851.366,3893.296,3954.121,3966.335,54522,56041,57283,58619,58903,58793,3.5,4.9,3.8,7.1,0.1871,-0.1081,0.17,0.1457
Nixon,1968,0.42,0.4,0.37,0.39,0.4,0.0,0.0,0.0,4301.973,4495.777,4615.853,4709.993,4788.688,4825.799,4844.779,61719,64854,66225,68330,68484,68721,6.2,5.3,4.4,4.5,0.1088,-0.1894,0.152,0.0427
Nixon,1972,0.58,0.59,0.6,0.61,0.62,1.0,0.0,0.0,4943.935,4935.693,5151.245,5245.974,5365.045,5415.712,5506.396,71121,70521,71642,74141,74264,74674,3.4,4.6,4.6,4.8,-0.1519,0.0482,0.0611,0.1458
Carter,1976,0.46,0.48,0.5,0.52,0.53,1.0,0.0,0.0,5727.96,5616.526,5759.972,5889.5,5932.710999999998,5965.265,6008.504,77607,78630,77540,79704,79892,79911,6.2,-1.1,2.5,3.2,-0.16579999999999998,-0.2757,0.3832,0.17859999999999998
Reagan,1980,0.32,0.33,0.34,0.35,0.38,1.0,0.0,0.0,6309.651999999999,6729.755,6816.203,6837.641,6696.7530000000015,6688.794,6813.535,83800,87956,90481,90099,90213,90490,3.2,4.5,1.9,0.7,-0.1727,-0.0315,0.041900000000000014,0.1493
Reagan,1984,0.52,0.55,0.53,0.56,0.54,1.0,0.0,0.0,6902.105,6802.4969999999985,7339.893,7483.371,7612.6680000000015,7686.059,7749.151,91380,88907,91520,95032,95344,95629,2.4,2.2,3.5,6.9,-0.0923,0.196,0.2027,-0.0374
Bush_1,1988,0.48,0.5,0.54,0.51,0.52,0.0,0.0,1.0,8073.239,8308.021,8680.162,8725.006,8839.641,8891.435,9009.913,98233,100121,103138,105674,106013,106276,3.0,3.8,2.2,4.7,0.2766,0.2258,0.0226,0.1185
Clinton,1992,0.35,0.3,0.33,0.39,0.36,1.0,0.0,0.0,9257.128,9312.937,9421.565,9534.346,9637.732,9732.979,9834.51,108476,109367,108357,108925,108959,109139,2.9,2.0,0.7,4.2,0.2696,-0.0434,0.2032,0.0417
Clinton,1996,0.53,0.55,0.54,0.53,0.57,1.0,0.0,0.0,10091.049,10506.372,10737.478,10817.896,10998.322,11096.976,11212.205,111733,115458,118031,120199,120410,120665,1.7,2.7,3.3,3.2,0.13720000000000002,0.0214,0.3345,0.2601
Bush_2,2000,0.58,0.62,0.59,0.6,0.58,0.0,0.0,1.0,11715.393,12287.0,12877.593,12924.178999999998,13160.842,13178.419,13260.506,123929,126954,130177,132230,132353,132351,3.7,5.9,3.3,5.0,0.2264,0.161,0.2522,-0.0617
Bush_2,2004,0.48,0.52,0.5,0.49,0.51,1.0,0.0,0.0,13280.859,13559.032,14145.645,14221.147,14329.523,14464.984,14609.876,131454,130628,130454,131937,132093,132447,2.7,3.0,2.7,3.3,-0.071,-0.16760000000000005,0.2532,0.0315
Barack,2008,0.32,0.3,0.29,0.31,0.27,0.0,0.0,1.0,15066.597,15456.928,15761.967,15671.383,15752.308,15667.032,15328.027,134655,136852,138174,137213,136753,136272,1.6,4.0,2.3,1.0,-0.0061,0.1629,0.0643,-0.33840000000000003
Barack,2012,0.47,0.46,0.49,0.48,0.47,1.0,0.0,0.0,15356.058,15750.625,16004.107,16129.418,16198.807,16220.667,16239.138,130045,130625,132562,134331,134518,134677,-0.2,2.0,2.3,3.3,0.1882,0.1102,0.0553,0.0726
Donald,2016,0.49,0.51,0.48,0.52,0.53,0.0,0.0,1.0,16663.648999999998,17143.038,17514.061999999998,17613.264,17668.203,17764.388,17876.179,137040,139818,142587,144647,144916,145061,-1.3,4.1,4.2,2.0,0.265,0.07519999999999999,-0.0223,0.1342
0,2020,0.39,0.41,0.42,0.46,0.48,1.0,0.0,0.0,18359.432,18813.923,19253.959,19010.848,17302.511000000002,18583.984,17523.872,147196,149549,151553,141059,141720,122898,3.1,3.6,2.2,1.5,0.2508,-0.0563,0.2234,-0.0371
