,popular_vote_percentage,NAP,stock,rdi,national_polls,gdp,state_election,Democrat_Republican
0,49.55,9.32,0.08540000000000003,5.6,892.5,12542.043,0.0,1
1,45.06999999999999,9.32,0.08540000000000003,5.6,1038.5,12542.043,0.0,0
2,55.18,4.71,1.2492999999999999,43.4,1086.835,14409.903,-1.0,0
3,44.33,4.71,1.2492999999999999,43.4,837.915,14409.903,-1.0,1
4,57.37,11.0,1.5554,46.900000000000006,1157.0,16877.643,1.0,0
5,41.97,11.0,1.5554,46.900000000000006,840.0,16877.643,1.0,1
6,49.72,8.68,0.6698999999999999,28.200000000000003,1025.5,18721.174,-1.0,1
7,49.55,8.68,0.6698999999999999,28.200000000000003,993.0,18721.174,-1.0,0
8,61.05,10.13,1.0636999999999999,53.099999999999994,1350.5,21927.91,1.0,1
9,38.47,10.13,1.0636999999999999,53.099999999999994,646.0,21927.91,1.0,0
10,42.72,5.890000000000001,0.35679999999999995,48.0,742.1475709784946,27141.086000000003,0.0,1
11,43.42,5.890000000000001,0.35679999999999995,48.0,984.9502231397851,27141.086000000003,0.0,0
12,37.52,9.1,0.7110000000000001,45.599999999999994,674.321517420891,30269.056,1.0,1
13,60.67,9.1,0.7110000000000001,45.599999999999994,1225.9108699170506,30269.056,1.0,0
14,48.02,7.65,1.1467999999999998,24.3,875.0941681946238,34240.928,1.0,0
15,50.08,7.65,1.1467999999999998,24.3,1024.8262407892473,34240.928,1.0,1
16,41.01,5.3,0.4872,20.7,774.979179095699,40217.771,1.0,1
17,50.75,5.3,0.4872,20.7,892.2404862333333,40217.771,1.0,0
18,58.77,8.15,0.7582,44.900000000000006,1171.1708477172042,42526.77799999999,1.0,0
19,40.56,8.15,0.7582,44.900000000000006,822.9990855290324,42526.77799999999,1.0,1
20,53.37,7.74,1.27,36.0,1018.448261526344,50729.76700000001,-1.0,0
21,45.65,7.74,1.27,36.0,927.2490987698925,50729.76700000001,-1.0,1
22,43.01,5.3,0.9592,25.8,944.5469234333333,56147.697,1.0,1
23,37.45,5.3,0.9592,25.8,745.2943737086022,56147.697,1.0,0
24,49.23,8.219999999999999,2.2239,29.8,1036.2679555107525,63316.227,1.0,1
25,40.72,8.219999999999999,2.2239,29.8,753.5138899376345,63316.227,1.0,0
26,48.38,8.89,1.0582,45.4,896.9562931153612,74922.17199999999,-1.0,1
27,47.87,8.89,1.0582,45.4,952.7146045012289,74922.17199999999,-1.0,0
28,50.73,7.53,0.4793999999999998,30.0,1012.3243356301075,82835.858,1.0,0
29,48.27,7.53,0.4793999999999998,30.0,975.0122195204301,82835.858,1.0,1
30,52.93,4.38,-0.8410000000000002,20.5,1015.0054207763442,93266.35399999999,-1.0,1
31,45.66,4.38,-0.8410000000000002,20.5,918.109346424731,93266.35399999999,-1.0,0
32,51.06,7.13,0.8649,23.9,997.7551665311828,94869.629,1.0,1
33,47.2,7.13,0.8649,23.9,982.9800104172041,94869.629,1.0,0
34,46.09,7.680000000000001,0.8853,27.5,845.412266935484,103491.911,-1.0,0
35,48.18000000000001,7.680000000000001,0.8853,27.5,936.224150623656,103491.911,-1.0,1
36,47.4,6.709999999999999,0.6599999999999999,22.900000000000002,897.398750010753,113749.155,1.0,0
37,50.8,6.709999999999999,0.6599999999999999,22.900000000000002,1075.2280687419357,113749.155,1.0,1
