,President_winning,Date,NAP06,NAP07,NAP08,NAP09,NAP10,Current_President_Seeking_Reelection,Early_Stopping_Previous,2nd_Mandate_Prev_Pres,Year0,Year1,Year2,Electiony1,Electiony2,Electiony3,Electiony4,payroll_y1,payroll_y2,payroll_y3,payroll_ey1,payroll_ey2,payroll_ey3,rdi_y0,rdi_y1,rdi_y2,rdi_ey,Stock_y1,Stock_y2,Stock_y3,Stock_ey,Month_10,Month_11,Month_6,Month_7,Month_8,Month_9,Name,Year,Winner,El_winner,popular_votes,Democrat_Republican
0,Truman,1948,0.48,0.52,0.6,0.65,0.68,0.0,0.0,0.0,2238.9320000000002,2068.901,2055.103,2086.0170000000007,2120.45,2132.598,2134.981,38600,43093,44411,45178,45294,45245,-1.1,-1.1,-4.1,5.3,0.2665,-0.0814,0.0223,-0.0213,45.0,,38.0,37.0,36.5,39.5,Harry S. Truman,1948,1,1,24179347,1
1,Truman,1948,0.48,0.52,0.6,0.65,0.68,0.0,0.0,0.0,2238.9320000000002,2068.901,2055.103,2086.0170000000007,2120.45,2132.598,2134.981,38600,43093,44411,45178,45294,45245,-1.1,-1.1,-4.1,5.3,0.2665,-0.0814,0.0223,-0.0213,50.0,,49.0,48.0,48.5,46.5,Thomas E. Dewey,1948,0,0,21991292,0
2,Eisenhower,1952,0.33,0.34,0.32,0.31,0.3,0.0,0.0,1.0,2102.251,2383.291,2513.69,2540.55,2546.022,2564.401,2648.6209999999996,42942,46706,48006,48924,49320,49597,0.8,9.2,3.4,3.5,0.1288,0.17629999999999998,0.1437,0.0842,50.667,49.5,59.0,50.0,,55.0,Dwight D. Eisenhower,1952,1,1,34075529,0
3,Eisenhower,1952,0.33,0.34,0.32,0.31,0.3,0.0,0.0,1.0,2102.251,2383.291,2513.69,2540.55,2546.022,2564.401,2648.6209999999996,42942,46706,48006,48924,49320,49597,0.8,9.2,3.4,3.5,0.1288,0.17629999999999998,0.1437,0.0842,39.333,39.5,31.0,43.0,,40.5,Aldai Stevenson II,1952,0,0,27375090,1
4,Eisenhower,1956,0.68,0.7,0.72,0.74,0.76,1.0,0.0,0.0,2662.482,2735.091,2914.993,2903.671,2927.665,2925.035,2973.179,50240,48942,51429,52631,52604,52777,4.8,1.4,6.7,4.8,-0.0377,0.4396,0.2077,0.0227,51.0,59.0,62.0,61.0,52.0,52.0,Dwight D. Eisenhower,1956,1,1,35579180,0
5,Eisenhower,1956,0.68,0.7,0.72,0.74,0.76,1.0,0.0,0.0,2662.482,2735.091,2914.993,2903.671,2927.665,2925.035,2973.179,50240,48942,51429,52631,52604,52777,4.8,1.4,6.7,4.8,-0.0377,0.4396,0.2077,0.0227,41.0,40.0,36.0,37.0,41.0,40.5,Aldai Stevenson II,1956,0,0,26028028,1
6,JFK,1960,0.48,0.63,0.6,0.56,0.58,0.0,0.0,1.0,2983.727000000001,3063.085,3203.759,3275.757,3258.0879999999997,3274.0290000000005,3232.009,52763,51485,53358,54272,54227,54142,2.6,1.0,4.4,2.6,-0.1277,0.3396,0.16399999999999998,-0.0934,49.0,51.0,50.0,50.0,45.5,47.0,John F. Kennedy,1960,1,1,34220984,1
7,JFK,1960,0.48,0.63,0.6,0.56,0.58,0.0,0.0,1.0,2983.727000000001,3063.085,3203.759,3275.757,3258.0879999999997,3274.0290000000005,3232.009,52763,51485,53358,54272,54227,54142,2.6,1.0,4.4,2.6,-0.1277,0.3396,0.16399999999999998,-0.0934,45.5,49.0,46.0,46.0,48.5,47.0,Richard Nixon,1960,0,0,34108157,0
8,Johnson,1964,0.69,0.68,0.67,0.68,0.67,1.0,1.0,0.0,3438.7209999999995,3586.827,3771.845,3851.366,3893.296,3954.1209999999996,3966.335,54522,56041,57283,58619,58903,58793,3.5,4.9,3.8,7.1,0.1871,-0.1081,0.17,0.1457,64.0,64.0,76.5,60.5,65.0,63.5,Lyndon B. Johnson,1964,1,1,43127041,1
9,Johnson,1964,0.69,0.68,0.67,0.68,0.67,1.0,1.0,0.0,3438.7209999999995,3586.827,3771.845,3851.366,3893.296,3954.1209999999996,3966.335,54522,56041,57283,58619,58903,58793,3.5,4.9,3.8,7.1,0.1871,-0.1081,0.17,0.1457,29.0,36.0,19.0,28.5,29.0,30.5,Barry Goldwater,1964,0,0,27175754,0
10,Nixon,1968,0.42,0.4,0.37,0.39,0.4,0.0,0.0,0.0,4301.973,4495.777,4615.853,4709.9929999999995,4788.688,4825.799,4844.779,61719,64854,66225,68330,68484,68721,6.2,5.3,4.4,4.5,0.1088,-0.1894,0.152,0.0427,30.97598000000001,39.03335600000001,42.042500333333344,40.898417096774175,34.69982548387097,31.28218099999999,"Hubert Humphrey, Jr.",1968,0,0,31271839,1
11,Nixon,1968,0.42,0.4,0.37,0.39,0.4,0.0,0.0,0.0,4301.973,4495.777,4615.853,4709.9929999999995,4788.688,4825.799,4844.779,61719,64854,66225,68330,68484,68721,6.2,5.3,4.4,4.5,0.1088,-0.1894,0.152,0.0427,48.234658709677426,47.899258,41.291199999999975,41.32431612903226,46.63116000000002,48.13701733333335,Richard M. Nixon,1968,1,1,31783783,0
12,Nixon,1972,0.58,0.59,0.6,0.61,0.62,1.0,0.0,0.0,4943.935,4935.693,5151.245,5245.974,5365.045,5415.7119999999995,5506.396,71121,70521,71642,74141,74264,74674,3.4,4.6,4.6,4.8,-0.1519,0.0482,0.0611,0.1458,31.34613935483871,33.385331428571426,36.74517233333334,36.90520838709679,31.36923032258064,28.153888,George S. McGovern,1972,0,0,29173222,1
13,Nixon,1972,0.58,0.59,0.6,0.61,0.62,1.0,0.0,0.0,4943.935,4935.693,5151.245,5245.974,5365.045,5415.7119999999995,5506.396,71121,70521,71642,74141,74264,74674,3.4,4.6,4.6,4.8,-0.1519,0.0482,0.0611,0.1458,59.23675387096777,58.03076285714285,53.42535400000001,55.2252741935484,57.17576967741936,61.53482799999998,Richard M. Nixon,1972,1,1,47168710,0
14,Carter,1976,0.46,0.48,0.5,0.52,0.53,1.0,0.0,0.0,5727.96,5616.526,5759.972,5889.5,5932.7109999999975,5965.265,6008.504,77607,78630,77540,79704,79892,79911,6.2,-1.1,2.5,3.2,-0.16579999999999998,-0.2757,0.3832,0.17859999999999998,42.73839651612904,45.424087,44.78198963333334,43.37807922580647,33.94457570967743,38.87144709999999,Gerald R. Ford,1976,0,0,39148634,0
15,Carter,1976,0.46,0.48,0.5,0.52,0.53,1.0,0.0,0.0,5727.96,5616.526,5759.972,5889.5,5932.7109999999975,5965.265,6008.504,77607,78630,77540,79704,79892,79911,6.2,-1.1,2.5,3.2,-0.16579999999999998,-0.2757,0.3832,0.17859999999999998,44.54171451612903,46.21298,46.71629453333333,58.224737516129075,55.923115903225785,48.47616773333333,Jimmy Carter,1976,1,1,40831881,1
16,Reagan,1980,0.32,0.33,0.34,0.35,0.38,1.0,0.0,0.0,6309.651999999999,6729.755,6816.203,6837.641,6696.753000000002,6688.794,6813.535,83800,87956,90481,90099,90213,90490,3.2,4.5,1.9,0.7,-0.1727,-0.0315,0.04190000000000002,0.1493,37.76502874193549,42.0041505,34.69923236666668,29.31115751612905,30.992019129032265,36.95788189999999,Jimmy Carter,1980,0,0,35480115,1
17,Reagan,1980,0.32,0.33,0.34,0.35,0.38,1.0,0.0,0.0,6309.651999999999,6729.755,6816.203,6837.641,6696.753000000002,6688.794,6813.535,83800,87956,90481,90099,90213,90490,3.2,4.5,1.9,0.7,-0.1727,-0.0315,0.04190000000000002,0.1493,41.44032061290323,44.190394,39.00892963333333,43.856480774193535,44.97709012903228,39.5608394,Ronald Reagan,1980,1,1,43903230,0
18,Reagan,1984,0.52,0.55,0.53,0.56,0.54,1.0,0.0,0.0,6902.105,6802.4969999999985,7339.893,7483.371,7612.668000000002,7686.059,7749.151,91380,88907,91520,95032,95344,95629,2.4,2.2,3.5,6.9,-0.0923,0.196,0.2027,-0.0374,56.46001893548386,57.04377499999999,55.71443763333335,51.70926712903224,53.353092516129045,56.85396340000001,Ronald Reagan,1984,1,1,54455472,0
19,Reagan,1984,0.52,0.55,0.53,0.56,0.54,1.0,0.0,0.0,6902.105,6802.4969999999985,7339.893,7483.371,7612.668000000002,7686.059,7749.151,91380,88907,91520,95032,95344,95629,2.4,2.2,3.5,6.9,-0.0923,0.196,0.2027,-0.0374,38.39550287096775,38.71461166666667,40.15352173333335,42.340328548387106,41.34193122580645,37.46848216666668,Walter F. Mondale,1984,0,0,37577352,1
20,Bush_1,1988,0.48,0.5,0.54,0.51,0.52,0.0,0.0,1.0,8073.2390000000005,8308.021,8680.162,8725.006,8839.641,8891.435,9009.913,98233,100121,103138,105674,106013,106276,3.0,3.8,2.2,4.7,0.2766,0.2258,0.0226,0.1185,50.933544483870975,52.514591625,41.35979013333333,41.92592561290322,43.53609635483871,48.218264733333314,George Bush,1988,1,1,48886597,0
21,Bush_1,1988,0.48,0.5,0.54,0.51,0.52,0.0,0.0,1.0,8073.2390000000005,8308.021,8680.162,8725.006,8839.641,8891.435,9009.913,98233,100121,103138,105674,106013,106276,3.0,3.8,2.2,4.7,0.2766,0.2258,0.0226,0.1185,42.257960193548385,41.51903625,49.68280470000001,49.24152583870967,47.74301641935485,43.86254366666667,Michael S. Dukakis,1988,0,0,41809476,1
22,Clinton,1992,0.35,0.3,0.33,0.39,0.36,1.0,0.0,0.0,9257.128,9312.937,9421.565,9534.346,9637.732,9732.979,9834.51,108476,109367,108357,108925,108959,109139,2.9,2.0,0.7,4.2,0.2696,-0.0434,0.2032,0.0417,45.8917864516129,42.678022,25.87830696666667,42.57123661290323,51.54290583870967,48.34259036666666,Bill Clinton,1992,1,1,44909806,1
23,Clinton,1992,0.35,0.3,0.33,0.39,0.36,1.0,0.0,0.0,9257.128,9312.937,9421.565,9534.346,9637.732,9732.979,9834.51,108476,109367,108357,108925,108959,109139,2.9,2.0,0.7,4.2,0.2696,-0.0434,0.2032,0.0417,34.25703903225807,35.53655000000001,31.9089701,32.17300409677419,36.322140129032256,38.892119966666655,George Bush,1992,0,0,39104550,0
24,Clinton,1996,0.53,0.55,0.54,0.53,0.57,1.0,0.0,0.0,10091.049,10506.372,10737.478000000001,10817.896,10998.322,11096.976,11212.205,111733,115458,118031,120199,120410,120665,1.7,2.7,3.3,3.2,0.13720000000000002,0.0214,0.3345,0.2601,50.375985967741926,49.765024800000006,48.29138929999999,47.42330738709678,46.40121035483872,50.86406043333333,Bill Clinton,1996,1,1,47400125,1
25,Clinton,1996,0.53,0.55,0.54,0.53,0.57,1.0,0.0,0.0,10091.049,10506.372,10737.478000000001,10817.896,10998.322,11096.976,11212.205,111733,115458,118031,120199,120410,120665,1.7,2.7,3.3,3.2,0.13720000000000002,0.0214,0.3345,0.2601,35.86550383870967,36.39062240000001,35.9570056,33.60363641935484,36.09894961290322,36.09537726666667,Bob Dole,1996,0,0,39198755,0
26,Bush_2,2000,0.58,0.62,0.59,0.6,0.58,0.0,0.0,1.0,11715.393,12287.0,12877.593,12924.178999999998,13160.841999999999,13178.419,13260.506000000001,123929,126954,130177,132230,132353,132351,3.7,5.9,3.3,5.0,0.2264,0.161,0.2522,-0.0617,43.063169225806455,43.156770285714295,39.5939411,38.705004967741935,42.06425896774195,44.87577433333333,Al Gore,2000,0,0,51003926,1
27,Bush_2,2000,0.58,0.62,0.59,0.6,0.58,0.0,0.0,1.0,11715.393,12287.0,12877.593,12924.178999999998,13160.841999999999,13178.419,13260.506000000001,123929,126954,130177,132230,132353,132351,3.7,5.9,3.3,5.0,0.2264,0.161,0.2522,-0.0617,45.37990616129034,46.706894142857145,46.50575390000001,45.9379731935484,45.48636316129034,42.683229766666656,George W. Bush,2000,1,1,50460110,0
28,Bush_2,2004,0.48,0.52,0.5,0.49,0.51,1.0,0.0,0.0,13280.858999999999,13559.032,14145.645,14221.146999999999,14329.523000000001,14464.983999999999,14609.876,131454,130628,130454,131937,132093,132447,2.7,3.0,2.7,3.3,-0.071,-0.16760000000000005,0.2532,0.0315,48.29044329032257,48.6303895,46.63246779999998,46.3951804516129,46.46268858064517,50.06972193333334,George W. Bush,2004,1,1,62040610,0
29,Bush_2,2004,0.48,0.52,0.5,0.49,0.51,1.0,0.0,0.0,13280.858999999999,13559.032,14145.645,14221.146999999999,14329.523000000001,14464.983999999999,14609.876,131454,130628,130454,131937,132093,132447,2.7,3.0,2.7,3.3,-0.071,-0.16760000000000005,0.2532,0.0315,46.04714503225807,47.00173,47.30664453333333,47.73755096774194,47.998162096774216,43.99747040000001,John Kerry,2004,0,0,59028439,1
30,Barack,2008,0.32,0.3,0.29,0.31,0.27,0.0,0.0,1.0,15066.597,15456.928,15761.966999999999,15671.383,15752.308,15667.032,15328.027,134655,136852,138174,137213,136753,136272,1.6,4.0,2.3,1.0,-0.0061,0.1629,0.0643,-0.33840000000000003,49.598201677419354,50.81443925000001,46.34155243333334,46.334966258064526,45.69324793548387,46.50913703333333,Barack Obama,2008,1,1,69498516,1
31,Barack,2008,0.32,0.3,0.29,0.31,0.27,0.0,0.0,1.0,15066.597,15456.928,15761.966999999999,15671.383,15752.308,15667.032,15328.027,134655,136852,138174,137213,136753,136272,1.6,4.0,2.3,1.0,-0.0061,0.1629,0.0643,-0.33840000000000003,42.761581193548366,43.86007125,43.16560966666667,41.88561258064516,43.56920670967742,45.874139499999984,John McCain,2008,0,0,59948323,0
32,Barack,2012,0.47,0.46,0.49,0.48,0.47,1.0,0.0,0.0,15356.058,15750.625,16004.107,16129.418,16198.806999999999,16220.667,16239.138,130045,130625,132562,134331,134518,134677,-0.2,2.0,2.3,3.3,0.1882,0.1102,0.0553,0.0726,47.515331774193534,47.86854316666666,46.38235213333332,46.61846987096775,46.853458483870966,48.19689533333334,Barack Obama,2012,1,1,65915795,1
33,Barack,2012,0.47,0.46,0.49,0.48,0.47,1.0,0.0,0.0,15356.058,15750.625,16004.107,16129.418,16198.806999999999,16220.667,16239.138,130045,130625,132562,134331,134518,134677,-0.2,2.0,2.3,3.3,0.1882,0.1102,0.0553,0.0726,47.56623783870967,47.71798433333333,45.95211506666667,45.86257270967741,46.43948629032257,45.46129896666666,Mitt Romney,2012,0,0,60933504,0
34,Donald,2016,0.49,0.51,0.48,0.52,0.53,0.0,0.0,1.0,16663.648999999998,17143.038,17514.061999999998,17613.264,17668.203,17764.388,17876.179,137040,139818,142587,144647,144916,145061,-1.3,4.1,4.2,2.0,0.265,0.07519999999999999,-0.0223,0.1342,39.88320806451614,41.60672750000001,39.005344,40.365286129032256,38.166796451612896,40.529889,Donald Trump,2016,1,1,62984828,0
35,Donald,2016,0.49,0.51,0.48,0.52,0.53,0.0,0.0,1.0,16663.648999999998,17143.038,17514.061999999998,17613.264,17668.203,17764.388,17876.179,137040,139818,142587,144647,144916,145061,-1.3,4.1,4.2,2.0,0.265,0.07519999999999999,-0.0223,0.1342,45.65835806451614,45.76827,43.69961066666666,42.63638967741935,44.31398387096775,42.85209966666665,Hillary Rodham Clinton,2016,0,0,65853514,1
36,0,2020,0.39,0.41,0.42,0.46,0.48,1.0,0.0,0.0,18359.432,18813.923,19253.959,19010.848,17302.511000000002,18583.984,17523.872,147196,149549,151553,141059,141720,122898,3.1,3.6,2.2,1.5,0.2508,-0.0563,0.2234,-0.0371,42.39973419354839,43.44203333333334,41.98578433333334,41.50888000000001,42.337772903225826,43.18275400000001,Donald Trump,2020,0,0,72648762,0
37,0,2020,0.39,0.41,0.42,0.46,0.48,1.0,0.0,0.0,18359.432,18813.923,19253.959,19010.848,17302.511000000002,18583.984,17523.872,147196,149549,151553,141059,141720,122898,3.1,3.6,2.2,1.5,0.2508,-0.0563,0.2234,-0.0371,51.895944516129035,51.87619666666666,50.17056766666668,50.41213709677418,50.66435032258065,50.37581833333334,Joseph R. Biden Jr.,2020,1,1,77965666,1
