DATE,UEMPMEAN_20200904,UEMPMEAN_20201002
1960-02-01,13.1,13.1
1960-03-01,13.0,13.0
1960-04-01,12.6,12.6
1960-05-01,11.9,11.9
1960-06-01,11.9,11.9
1960-07-01,12.6,12.6
1960-08-01,12.2,12.2
1960-09-01,12.9,12.9
1960-10-01,13.5,13.5
1960-11-01,13.9,13.9
1960-12-01,12.4,12.4
1961-01-01,13.7,13.7
1961-02-01,13.6,13.6
1961-03-01,14.1,14.1
1961-04-01,15.5,15.5
1961-05-01,15.6,15.6
1961-06-01,16.2,16.2
1961-07-01,17.3,17.3
1961-08-01,17.0,17.0
1961-09-01,16.1,16.1
1961-10-01,15.9,15.9
1961-11-01,17.0,17.0
1961-12-01,15.8,15.8
1962-01-01,15.3,15.3
1962-02-01,16.0,16.0
1962-03-01,15.0,15.0
1962-04-01,14.9,14.9
1962-05-01,15.5,15.5
1962-06-01,15.1,15.1
1962-07-01,14.6,14.6
1962-08-01,14.5,14.5
1962-09-01,14.1,14.1
1962-10-01,14.1,14.1
1962-11-01,13.3,13.3
1962-12-01,13.6,13.6
1963-01-01,13.8,13.8
1963-02-01,14.1,14.1
1963-03-01,14.5,14.5
1963-04-01,14.5,14.5
1963-05-01,14.5,14.5
1963-06-01,14.0,14.0
1963-07-01,14.0,14.0
1963-08-01,13.9,13.9
1963-09-01,14.2,14.2
1963-10-01,13.9,13.9
1963-11-01,13.3,13.3
1963-12-01,13.3,13.3
1964-01-01,13.5,13.5
1964-02-01,13.2,13.2
1964-03-01,13.5,13.5
1964-04-01,12.4,12.4
1964-05-01,13.6,13.6
1964-06-01,13.6,13.6
1964-07-01,14.7,14.7
1964-08-01,13.0,13.0
1964-09-01,12.7,12.7
1964-10-01,12.6,12.6
1964-11-01,14.0,14.0
1964-12-01,12.7,12.7
1965-01-01,12.2,12.2
1965-02-01,12.6,12.6
1965-03-01,12.0,12.0
1965-04-01,11.4,11.4
1965-05-01,11.1,11.1
1965-06-01,11.6,11.6
1965-07-01,11.6,11.6
1965-08-01,11.9,11.9
1965-09-01,11.9,11.9
1965-10-01,12.1,12.1
1965-11-01,11.7,11.7
1965-12-01,11.4,11.4
1966-01-01,11.9,11.9
1966-02-01,11.2,11.2
1966-03-01,11.1,11.1
1966-04-01,10.8,10.8
1966-05-01,10.2,10.2
1966-06-01,9.7,9.7
1966-07-01,9.7,9.7
1966-08-01,9.8,9.8
1966-09-01,10.1,10.1
1966-10-01,10.3,10.3
1966-11-01,9.7,9.7
1966-12-01,9.5,9.5
