,candidate_name,cycle,modeldate,pct_median_adjusted,state
0,George Wallace,1968.0,6.0,13.032462000000006,National
1,George Wallace,1968.0,7.0,14.06011806451613,National
2,George Wallace,1968.0,8.0,15.474081935483868,National
3,George Wallace,1968.0,9.0,17.273118,National
4,George Wallace,1968.0,10.0,17.864713870967744,National
5,George Wallace,1968.0,11.0,14.806351999999999,National
6,"Hubert Humphrey, Jr.",1968.0,6.0,42.042500333333344,National
7,"Hubert Humphrey, Jr.",1968.0,7.0,40.89841709677418,National
8,"Hubert Humphrey, Jr.",1968.0,8.0,34.69982548387097,National
9,"Hubert Humphrey, Jr.",1968.0,9.0,31.28218099999999,National
10,"Hubert Humphrey, Jr.",1968.0,10.0,30.975980000000007,National
11,"Hubert Humphrey, Jr.",1968.0,11.0,39.03335600000001,National
12,Richard M. Nixon,1968.0,6.0,41.29119999999998,National
13,Richard M. Nixon,1968.0,7.0,41.324316129032255,National
14,Richard M. Nixon,1968.0,8.0,46.631160000000015,National
15,Richard M. Nixon,1968.0,9.0,48.13701733333335,National
16,Richard M. Nixon,1968.0,10.0,48.23465870967743,National
17,Richard M. Nixon,1968.0,11.0,47.899257999999996,National
18,George S. McGovern,1972.0,6.0,36.74517233333334,National
19,George S. McGovern,1972.0,7.0,36.90520838709678,National
20,George S. McGovern,1972.0,8.0,31.36923032258064,National
21,George S. McGovern,1972.0,9.0,28.153888000000002,National
22,George S. McGovern,1972.0,10.0,31.34613935483871,National
23,George S. McGovern,1972.0,11.0,33.38533142857143,National
24,Richard M. Nixon,1972.0,6.0,53.42535400000001,National
25,Richard M. Nixon,1972.0,7.0,55.225274193548394,National
26,Richard M. Nixon,1972.0,8.0,57.17576967741936,National
27,Richard M. Nixon,1972.0,9.0,61.53482799999998,National
28,Richard M. Nixon,1972.0,10.0,59.23675387096777,National
29,Richard M. Nixon,1972.0,11.0,58.030762857142854,National
30,Gerald R. Ford,1976.0,6.0,44.78198963333334,National
31,Gerald R. Ford,1976.0,7.0,43.37807922580647,National
32,Gerald R. Ford,1976.0,8.0,33.94457570967743,National
33,Gerald R. Ford,1976.0,9.0,38.87144709999999,National
34,Gerald R. Ford,1976.0,10.0,42.73839651612904,National
35,Gerald R. Ford,1976.0,11.0,45.424087,National
36,Jimmy Carter,1976.0,6.0,46.71629453333333,National
37,Jimmy Carter,1976.0,7.0,58.22473751612907,National
38,Jimmy Carter,1976.0,8.0,55.9231159032258,National
39,Jimmy Carter,1976.0,9.0,48.47616773333333,National
40,Jimmy Carter,1976.0,10.0,44.541714516129026,National
41,Jimmy Carter,1976.0,11.0,46.21298,National
42,Jimmy Carter,1980.0,6.0,34.69923236666668,National
43,Jimmy Carter,1980.0,7.0,29.311157516129047,National
44,Jimmy Carter,1980.0,8.0,30.99201912903226,National
45,Jimmy Carter,1980.0,9.0,36.95788189999999,National
46,Jimmy Carter,1980.0,10.0,37.765028741935495,National
47,Jimmy Carter,1980.0,11.0,42.0041505,National
48,John B. Anderson,1980.0,6.0,19.74902546666666,National
49,John B. Anderson,1980.0,7.0,18.2127585483871,National
50,John B. Anderson,1980.0,8.0,14.849798709677419,National
51,John B. Anderson,1980.0,9.0,13.612086000000001,National
52,John B. Anderson,1980.0,10.0,10.789295919354839,National
53,John B. Anderson,1980.0,11.0,7.6649715999999986,National
54,Ronald Reagan,1980.0,6.0,39.008929633333324,National
55,Ronald Reagan,1980.0,7.0,43.85648077419352,National
